Time,data
1729403412.2197254,48.07
1729403412.2200139,48.07
1729403412.2202826,48.07
1729403412.226643,48.07
1729403412.3278806,48.07
1729403412.4266448,48.07
1729403412.5270996,48.07
1729403412.6269014,48.07
1729403412.7269256,48.07
1729403412.8269663,48.07
1729403412.9287972,48.07
1729403413.0290103,48.06
1729403413.129249,48.06
1729403413.2290752,48.06
1729403413.3288083,48.06
1729403413.4290297,48.06
1729403413.5277193,48.06
1729403413.627983,48.06
1729403413.728202,48.06
1729403413.82918,48.06
1729403413.9283395,48.05
1729403414.027951,48.05
1729403414.1281402,48.05
1729403414.229729,48.05
1729403414.3279133,48.05
1729403414.4274504,48.05
1729403414.5277236,48.05
1729403414.6271803,48.05
1729403414.7284048,48.04
1729403414.828511,48.04
1729403414.9287546,48.04
1729403415.0282269,48.04
1729403415.1292539,48.04
1729403415.2286289,48.03
1729403415.3309953,48.03
1729403415.4286478,48.03
1729403415.5287178,48.03
1729403415.6280034,48.04
1729403415.7276664,48.04
1729403415.8279161,48.03
1729403415.9276423,48.03
1729403416.0290236,48.03
1729403416.1291294,48.03
1729403416.2293565,48.03
1729403416.3290102,48.02
1729403416.4287257,48.02
1729403416.5283873,48.02
1729403416.6270585,48.02
1729403416.7286167,48.02
1729403416.8273568,48.02
1729403416.9270456,48.01
1729403417.027103,48.01
1729403417.128032,48.01
1729403417.2334619,48.01
1729403417.326696,48.01
1729403417.4280448,48.01
1729403417.526826,48.0
1729403417.62653,48.0
1729403417.7264392,48.01
1729403417.8263001,48.01
1729403417.9265602,48.01
1729403418.0271103,48.01
1729403418.1272547,48.0
1729403418.228776,48.0
1729403418.3280742,48.0
1729403418.4281218,48.0
1729403418.5277262,48.0
1729403418.6276622,47.99
1729403418.7280605,47.99
1729403418.82763,47.99
1729403418.9276204,47.98
1729403419.0277252,47.98
1729403419.1278334,47.97
1729403419.2289546,47.97
1729403419.327788,47.97
1729403419.4276319,47.97
1729403419.5272448,47.97
1729403419.6280015,47.96
1729403419.7277987,47.96
1729403419.8298457,47.96
1729403419.9273944,47.95
1729403420.0273874,47.96
1729403420.1276693,47.95
1729403420.2269788,47.95
1729403420.326384,47.95
1729403420.426673,47.95
1729403420.5269196,47.95
1729403420.627939,47.94
1729403420.7285194,47.94
1729403420.828285,47.94
1729403420.92852,47.94
1729403421.027918,47.94
1729403421.128189,47.93
1729403421.2306066,47.93
1729403421.3276696,47.93
1729403421.4295268,47.92
1729403421.5285647,47.92
1729403421.6275039,47.92
1729403421.7286556,47.92
1729403421.8275151,47.92
1729403421.928123,47.92
1729403422.0269575,47.92
1729403422.1277819,47.91
1729403422.22899,47.91
1729403422.3277907,47.92
1729403422.427485,47.91
1729403422.5275457,47.91
1729403422.6273136,47.91
1729403422.7270436,47.91
1729403422.8267264,47.9
1729403422.9277034,47.9
1729403423.0275893,47.9
1729403423.1277132,47.9
1729403423.2305923,47.9
1729403423.3304937,47.9
1729403423.4285736,47.9
1729403423.52905,47.89
1729403423.6282768,47.89
1729403423.7291782,47.89
1729403423.8277633,47.89
1729403423.927717,47.89
1729403424.0278037,47.88
1729403424.1279395,47.88
1729403424.2275517,47.88
1729403424.3275871,47.87
1729403424.4290307,47.87
1729403424.5275743,47.87
1729403424.6274033,47.87
1729403424.7275462,47.86
1729403424.8276231,47.86
1729403424.9274757,47.85
1729403425.0288596,47.85
1729403425.1284122,47.85
1729403425.2286263,47.85
1729403425.327541,47.84
1729403425.4285526,47.84
1729403425.5276692,47.84
1729403425.6280854,47.83
1729403425.7286057,47.83
1729403425.827876,47.83
1729403425.9271564,47.83
1729403426.028896,47.83
1729403426.1283412,47.83
1729403426.2274778,47.83
1729403426.3272996,47.82
1729403426.4274282,47.82
1729403426.5273676,47.82
1729403426.6275303,47.81
1729403426.7281961,47.81
1729403426.8281503,47.81
1729403426.9276004,47.81
1729403427.0276284,47.81
1729403427.127914,47.81
1729403427.2299502,47.81
1729403427.3273268,47.8
1729403427.4266572,47.8
1729403427.527795,47.8
1729403427.6269658,47.8
1729403427.728265,47.8
1729403427.826951,47.8
1729403427.9270833,47.79
1729403428.0272696,47.79
1729403428.127103,47.79
1729403428.23078,47.78
1729403428.3264112,47.78
1729403428.4265785,47.78
1729403428.5280502,47.78
1729403428.6280432,47.78
1729403428.7274516,47.77
1729403428.8276243,47.77
1729403428.9274735,47.76
1729403429.027413,47.76
1729403429.127433,47.76
1729403429.2289011,47.76
1729403429.327947,47.75
1729403429.4276104,47.75
1729403429.5275743,47.75
1729403429.627568,47.75
1729403429.727869,47.75
1729403429.828999,47.75
1729403429.9295015,47.75
1729403430.0291977,47.75
1729403430.1285372,47.75
1729403430.228121,47.75
1729403430.3270159,47.74
1729403430.4276266,47.74
1729403430.5276194,47.74
1729403430.6277974,47.74
1729403430.7277622,47.74
1729403430.8277721,47.74
1729403430.9280798,47.74
1729403431.0282443,47.74
1729403431.1283214,47.73
1729403431.230411,47.73
1729403431.3276384,47.73
1729403431.428183,47.73
1729403431.5271323,47.73
1729403431.627011,47.73
1729403431.7273088,47.72
1729403431.8275425,47.72
1729403431.9270895,47.72
1729403432.0271664,47.72
1729403432.1301355,47.72
1729403432.2290483,47.72
1729403432.326877,47.71
1729403432.4267468,47.71
1729403432.5270066,47.71
1729403432.627904,47.71
1729403432.7292693,47.7
1729403432.8276308,47.7
1729403432.9274313,47.7
1729403433.026979,47.7
1729403433.1277893,47.69
1729403433.23247,47.69
1729403433.3271704,47.69
1729403433.4268868,47.68
1729403433.528046,47.68
1729403433.6289585,47.68
1729403433.7270079,47.68
1729403433.8270166,47.68
1729403433.927323,47.68
1729403434.0271978,47.68
1729403434.126799,47.68
1729403434.2280636,47.68
1729403434.3277886,47.68
1729403434.4270086,47.68
1729403434.5272143,47.68
1729403434.6282344,47.68
1729403434.7289429,47.68
1729403434.8271036,47.68
1729403434.9275703,47.68
1729403435.0268555,47.67
1729403435.1266403,47.68
1729403435.2266014,47.68
1729403435.3274035,47.68
1729403435.4269524,47.67
1729403435.5265994,47.67
1729403435.626778,47.67
1729403435.7267685,47.67
1729403435.8272483,47.67
1729403435.9266353,47.67
1729403436.0267224,47.66
1729403436.1279817,47.66
1729403436.2277088,47.66
1729403436.3279605,47.66
1729403436.4276724,47.66
1729403436.5276768,47.66
1729403436.6275222,47.67
1729403436.727566,47.67
1729403436.827811,47.66
1729403436.9276614,47.66
1729403437.0275698,47.66
1729403437.1303885,47.66
1729403437.228216,47.66
1729403437.328219,47.66
1729403437.4278562,47.66
1729403437.5276892,47.66
1729403437.6278727,47.66
1729403437.7267773,47.65
1729403437.8269181,47.65
1729403437.9267867,47.65
1729403438.0267937,47.65
1729403438.1278763,47.65
1729403438.227087,47.65
1729403438.3277037,47.65
1729403438.4276967,47.64
1729403438.5278609,47.64
1729403438.629311,47.64
1729403438.7280407,47.64
1729403438.8268783,47.64
1729403438.9271684,47.64
1729403439.0284362,47.64
1729403439.1270075,47.63
1729403439.2282538,47.63
1729403439.327779,47.63
1729403439.4272552,47.63
1729403439.5277731,47.63
1729403439.6263402,47.64
1729403439.7279584,47.64
1729403439.8281558,47.63
1729403439.9270988,47.63
1729403440.026214,47.62
1729403440.1270614,47.62
1729403440.227431,47.62
1729403440.3263423,47.62
1729403440.4267597,47.62
1729403440.5267773,47.62
1729403440.626973,47.62
1729403440.7263176,47.62
1729403440.8265688,47.62
1729403440.926485,47.62
1729403441.0282192,47.62
1729403441.1272008,47.63
1729403441.2283013,47.63
1729403441.3261228,47.63
1729403441.4268248,47.63
1729403441.526564,47.63
1729403441.628234,47.63
1729403441.7283626,47.63
1729403441.8288562,47.63
1729403441.9276507,47.63
1729403442.027183,47.63
1729403442.126764,47.63
1729403442.227926,47.63
1729403442.3273401,47.63
1729403442.427742,47.62
1729403442.5273314,47.63
1729403442.6283333,47.63
1729403442.7271183,47.63
1729403442.8280287,47.63
1729403442.926704,47.62
1729403443.0270138,47.62
1729403443.126643,47.62
1729403443.2270057,47.62
1729403443.3257794,47.63
1729403443.4275784,47.63
1729403443.5265274,47.63
1729403443.6265574,47.63
1729403443.729204,47.62
1729403443.826399,47.62
1729403443.9263945,47.62
1729403444.0264301,47.62
1729403444.12764,47.62
1729403444.2264411,47.62
1729403444.326674,47.62
1729403444.4278595,47.62
1729403444.5267053,47.62
1729403444.626366,47.62
1729403444.7265112,47.62
1729403444.8276725,47.62
1729403444.9268808,47.62
1729403445.0268087,47.62
1729403445.1266863,47.61
1729403445.2282255,47.61
1729403445.3270416,47.61
1729403445.4265056,47.61
1729403445.5279493,47.61
1729403445.6267445,47.61
1729403445.7267792,47.61
1729403445.8284879,47.61
1729403445.9266984,47.61
1729403446.027811,47.61
1729403446.1283607,47.61
1729403446.2273602,47.61
1729403446.3261838,47.62
1729403446.4274817,47.62
1729403446.526608,47.62
1729403446.626995,47.62
1729403446.726979,47.62
1729403446.8270185,47.62
1729403446.9265754,47.62
1729403447.0268242,47.62
1729403447.1280031,47.62
1729403447.2276442,47.62
1729403447.3282561,47.62
1729403447.4277756,47.62
1729403447.5280452,47.62
1729403447.629606,47.62
1729403447.728113,47.63
1729403447.8279767,47.63
1729403447.9266412,47.63
1729403448.026993,47.63
1729403448.1261399,47.63
1729403448.2281394,47.63
1729403448.3280616,47.63
1729403448.4262862,47.63
1729403448.5265307,47.63
1729403448.6275198,47.63
1729403448.7271326,47.63
1729403448.8250964,47.63
1729403448.925953,47.63
1729403449.0255942,47.63
1729403449.125617,47.63
1729403449.2256608,47.63
1729403449.3269033,47.63
1729403449.4267828,47.63
1729403449.5260534,47.63
1729403449.625337,47.63
1729403449.7270672,47.64
