Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1729403412.329396,2311,1729403412,327563840,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403412.4308298,2312,1729403412,429559232,,255,1502,1500,1003,1503,1003,1000,999,1000
1729403412.5296748,2313,1729403412,527556416,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403412.6294231,2314,1729403412,627551040,,255,1502,1500,1003,1503,1002,1000,1000,999
1729403412.7300346,2315,1729403412,726546688,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403412.829244,2316,1729403412,827543616,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403412.929866,2317,1729403412,926539520,,255,1502,1500,1003,1503,1003,1000,999,1000
1729403413.0349917,2318,1729403413,29531584,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403413.134672,2319,1729403413,129526464,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403413.2357624,2320,1729403413,229524160,,255,1502,1500,1003,1503,1003,999,1000,1000
1729403413.3323455,2321,1729403413,329519040,,255,1502,1500,1002,1503,1002,1000,1000,1000
1729403413.4312713,2322,1729403413,427516480,,255,1502,1500,1003,1503,1003,1000,1000,999
1729403413.5310197,2323,1729403413,527511360,,255,1502,1500,1002,1503,1003,1000,1000,1000
1729403413.6310656,2324,1729403413,626506752,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403413.7312858,2325,1729403413,727503424,,255,1502,1500,1003,1503,1003,999,1000,1000
1729403413.8303652,2326,1729403413,827499840,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403413.9305365,2327,1729403413,927496512,,255,1502,1500,1003,1503,1003,1000,1000,999
1729403414.0317428,2328,1729403414,29492928,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403414.1306512,2329,1729403414,127489088,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403414.2321854,2330,1729403414,227485760,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403414.330833,2331,1729403414,327482176,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403414.4308221,2332,1729403414,427478848,,255,1502,1500,1003,1503,1003,999,1000,1000
