Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1729403412.434559,2312,1729403412,433713592,,1729403429,433166000,fcu
1729403412.5318172,2313,1729403412,530806869,,1729403429,530808000,fcu
1729403412.6327062,2314,1729403412,631831110,,1729403429,630932000,fcu
1729403412.7315476,2315,1729403412,730802388,,1729403429,730270000,fcu
1729403412.8346694,2316,1729403412,833725054,,1729403429,832788000,fcu
1729403412.9317658,2317,1729403412,930650258,,1729403429,930333000,fcu
1729403413.0370104,2318,1729403413,33659073,,1729403430,32954000,fcu
1729403413.1384342,2319,1729403413,133833554,,1729403430,133216000,fcu
1729403413.23617,2320,1729403413,233694906,,1729403430,233061000,fcu
1729403413.3356192,2321,1729403413,333702684,,1729403430,332927000,fcu
1729403413.435556,2322,1729403413,431133702,,1729403430,430888000,fcu
1729403413.5331626,2323,1729403413,531698387,,1729403430,530952000,fcu
1729403413.633181,2324,1729403413,631441795,,1729403430,630715000,fcu
1729403413.7338302,2325,1729403413,732768443,,1729403430,732793000,fcu
1729403413.8344624,2326,1729403413,832750572,,1729403430,832769000,fcu
1729403413.933994,2327,1729403413,932807517,,1729403430,932663000,fcu
1729403414.0347345,2328,1729403414,33120368,,1729403431,32825000,fcu
1729403414.134762,2329,1729403414,133113479,,1729403431,132733000,fcu
1729403414.237088,2330,1729403414,232980294,,1729403431,232720000,fcu
1729403414.3338423,2331,1729403414,332835109,,1729403431,332653000,fcu
1729403414.434444,2332,1729403414,433122813,,1729403431,432824000,fcu
1729403414.535451,2333,1729403414,533430220,,1729403431,532815000,fcu
1729403414.636077,2334,1729403414,634040738,,1729403431,633169000,fcu
1729403414.7340102,2335,1729403414,731219609,,1729403431,730849000,fcu
1729403414.8336437,2336,1729403414,831403961,,1729403431,830848000,fcu
1729403414.9350295,2337,1729403414,931284553,,1729403431,930845000,fcu
1729403415.0355992,2338,1729403415,34201220,,1729403432,32957000,fcu
1729403415.1387398,2339,1729403415,134011053,,1729403432,132983000,fcu
1729403415.2340565,2340,1729403415,231235405,,1729403432,230818000,fcu
1729403415.335147,2341,1729403415,333021645,,1729403432,333075000,fcu
1729403415.4346495,2342,1729403415,433749368,,1729403432,433031000,fcu
1729403415.5347447,2343,1729403415,533256608,,1729403432,533094000,fcu
1729403415.6355176,2344,1729403415,633005330,,1729403432,632686000,fcu
1729403415.7329955,2345,1729403415,731404590,,1729403432,730742000,fcu
1729403415.8347986,2346,1729403415,833456627,,1729403432,832759000,fcu
1729403415.9351628,2347,1729403415,933457886,,1729403432,932837000,fcu
1729403416.0348446,2348,1729403416,33461904,,1729403433,32849000,fcu
1729403416.1328592,2349,1729403416,130325682,,1729403433,130334000,fcu
1729403416.234734,2350,1729403416,233417312,,1729403433,232692000,fcu
1729403416.3326397,2351,1729403416,330411830,,1729403433,330303000,fcu
1729403416.4342217,2352,1729403416,433171515,,1729403433,432792000,fcu
1729403416.5350423,2353,1729403416,533221089,,1729403433,532706000,fcu
1729403416.635007,2354,1729403416,631534089,,1729403433,630819000,fcu
1729403416.7359235,2355,1729403416,731724293,,1729403433,730845000,fcu
1729403416.8348432,2356,1729403416,833552570,,1729403433,833037000,fcu
1729403416.9363143,2357,1729403416,933237867,,1729403433,932663000,fcu
1729403417.036349,2358,1729403417,33240311,,1729403434,32790000,fcu
1729403417.1366642,2359,1729403417,133632644,,1729403434,132944000,fcu
1729403417.2375638,2360,1729403417,233490552,,1729403434,232814000,fcu
1729403417.3356364,2361,1729403417,335174737,,1729403434,335576000,fcu
1729403417.434423,2362,1729403417,433337866,,1729403434,433062000,fcu
1729403417.534213,2363,1729403417,533350107,,1729403434,533074000,fcu
1729403417.6342435,2364,1729403417,633433626,,1729403434,633122000,fcu
1729403417.7354832,2365,1729403417,735236681,,1729403434,735398000,fcu
1729403417.8342173,2366,1729403417,833453274,,1729403434,833125000,fcu
1729403417.935625,2367,1729403417,935234699,,1729403434,935648000,fcu
1729403418.035991,2368,1729403418,35315718,,1729403435,35349000,fcu
1729403418.1358283,2369,1729403418,133797681,,1729403435,133289000,fcu
1729403418.2409718,2370,1729403418,236835033,,1729403435,235928000,fcu
1729403418.3341084,2371,1729403418,333382866,,1729403435,333515000,fcu
1729403418.437518,2372,1729403418,435402051,,1729403435,435351000,fcu
1729403418.5355446,2373,1729403418,533887088,,1729403435,533253000,fcu
1729403418.6346066,2374,1729403418,633502718,,1729403435,632985000,fcu
1729403418.7363467,2375,1729403418,735468588,,1729403435,735374000,fcu
1729403418.8383071,2376,1729403418,836841217,,1729403435,835824000,fcu
1729403418.934991,2377,1729403418,933780088,,1729403435,933581000,fcu
1729403419.03565,2378,1729403419,33849384,,1729403436,33126000,fcu
1729403419.1362834,2379,1729403419,135525162,,1729403436,135545000,fcu
1729403419.2352931,2380,1729403419,233884865,,1729403436,233147000,fcu
