Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1729403412.4209795,6552,1729403412,420414777,,688104020000,1729402724314675693,1729402724314559232,3.427333116531372
1729403412.5208209,6553,1729403412,520504462,,688203478000,1729402724315243026,1729402724314556416,3.5550930500030518
1729403412.6208625,6554,1729403412,620445054,,688304367000,1729402724314346739,1729402724314551040,3.452277898788452
1729403412.720767,6555,1729403412,720458684,,688403983000,1729402724314736397,1729402724314546688,3.4690189361572266
1729403412.8208582,6556,1729403412,820467221,,688503534000,1729402724315188369,1729402724314543616,3.479926109313965
1729403412.9209182,6557,1729403412,920480980,,688603953000,1729402724314779313,1729402724314539520,3.486704111099243
1729403413.0243175,6558,1729403413,23570443,,688706803000,1729402724313491156,1729402724314531584,6.539185047149658
1729403413.1216755,6559,1729403413,120633313,,688804365000,1729402724314475174,1729402724314526464,3.5669260025024414
1729403413.2215192,6560,1729403413,220653702,,688903438000,1729402724315410026,1729402724314524160,3.592888116836548
1729403413.3212602,6561,1729403413,320600406,,689004323000,1729402724314489202,1729402724314519040,3.561037063598633
1729403413.4212925,6562,1729403413,420617924,,689103471000,1729402724315352683,1729402724314516480,3.573276996612549
1729403413.521132,6563,1729403413,520636591,,689204316000,1729402724314496831,1729402724314511360,3.6324260234832764
1729403413.6213021,6564,1729403413,620686498,,689304323000,1729402724314535053,1729402724314506752,3.631314992904663
1729403413.721328,6565,1729403413,720657369,,689403911000,1729402724314935813,1729402724314503424,3.6058340072631836
1729403413.821284,6566,1729403413,820687054,,689503947000,1729402724314910415,1729402724314499840,3.644758939743042
1729403413.9212484,6567,1729403413,920719128,,689603884000,1729402724314992868,1729402724314496512,3.667185068130493
1729403414.0213916,6568,1729403414,20714887,,689703988000,1729402724314865628,1729402724314492928,3.70625901222229
1729403414.1211932,6569,1729403414,120722665,,689804072000,1729402724314803757,1729402724314489088,3.6784629821777344
1729403414.2216074,6570,1729403414,220784128,,689903947000,1729402724314959109,1729402724314485760,3.7376110553741455
1729403414.3212192,6571,1729403414,320734405,,690003959000,1729402724314921877,1729402724314482176,3.6929819583892822
1729403414.421233,6572,1729403414,420754035,,690103955000,1729402724314935812,1729402724314478848,3.711925983428955
1729403414.521545,6573,1729403414,520787590,,690203950000,1729402724314941285,1729402724314475776,3.7781848907470703
1729403414.621289,6574,1729403414,620770368,,690303950000,1729402724314948766,1729402724314472704,3.72959303855896
1729403414.7213778,6575,1729403414,720815609,,690404316000,1729402724314604886,1729402724314468608,3.773092031478882
1729403414.8215208,6576,1729403414,820816794,,690504298000,1729402724314627442,1729402724314464512,3.7668519020080566
1729403414.9213455,6577,1729403414,920834960,,690603386000,1729402724315543155,1729402724314463232,3.7957589626312256
1729403415.0213978,6578,1729403415,20850423,,690704337000,1729402724314587969,1729402724314458880,3.8363149166107178
1729403415.1216938,6579,1729403415,120886979,,690804305000,1729402724314657414,1729402724314454784,3.832406997680664
1729403415.2217479,6580,1729403415,220962257,,690903457000,1729402724315540006,1729402724314453504,3.913832902908325
1729403415.3215394,6581,1729403415,320885516,,691004340000,1729402724314615238,1729402724314449408,3.8472959995269775
1729403415.4215405,6582,1729403415,420925849,,691104324000,1729402724314682803,1729402724314445568,3.8227040767669678
1729403415.5216923,6583,1729403415,520955275,,691203932000,1729402724315061284,1729402724314442752,3.9075560569763184
1729403415.6206727,6584,1729403415,619941016,,691304277000,1729402724314208534,1729402724314437376,2.8938510417938232
1729403415.7206635,6585,1729403415,719940978,,691404216000,1729402724314293978,1729402724314432256,2.846406936645508
1729403415.8205183,6586,1729403415,819984608,,691503956000,1729402724314552840,1729402724314427904,2.934981107711792
1729403415.9204648,6587,1729403415,919964997,,691604006000,1729402724314488330,1729402724314423296,2.9261109828948975
1729403416.0237913,6588,1729403416,22999701,,691705986000,1729402724314146747,1729402724314417920,5.7200927734375
1729403416.1207812,6589,1729403416,120023386,,691804014000,1729402724314513210,1729402724314413824,2.973388910293579
1729403416.2232525,6590,1729403416,222723034,,691903962000,1729402724315907358,1729402724314413824,5.690147876739502
1729403416.3206904,6591,1729403416,320055034,,692004026000,1729402724314515626,1729402724314409728,3.011277914047241
1729403416.4206238,6592,1729403416,420054571,,692103941000,1729402724314599422,1729402724314405888,3.0111489295959473
1729403416.5207071,6593,1729403416,520071145,,692204258000,1729402724314272274,1729402724314401024,3.0647780895233154
1729403416.621853,6594,1729403416,621085385,,692304320000,1729402724314736746,1729402724314397440,4.040389060974121
1729403416.7217538,6595,1729403416,721112978,,692404296000,1729402724314775153,1729402724314394112,4.0657219886779785
1729403416.8207333,6596,1729403416,820117348,,692504001000,1729402724314573469,1729402724314390016,3.0701661109924316
1729403416.9207683,6597,1729403416,920136941,,692604281000,1729402724314303469,1729402724314385152,3.0892770290374756
1729403417.0237134,6598,1729403417,23153218,,692706866000,1729402724313279283,1729402724314377216,5.999425888061523
1729403417.1210556,6599,1729403417,120193496,,692804236000,1729402724314382959,1729402724314372608,3.129703998565674
1729403417.2210312,6600,1729403417,220224829,,692904281000,1729402724314366153,1729402724314368000,3.1354260444641113
1729403417.3206966,6601,1729403417,320151996,,693004730000,1729402724313851098,1729402724314361856,3.1277410984039307
1729403417.4205575,6602,1729403417,420167237,,693103833000,1729402724314761255,1729402724314358272,3.134443998336792
1729403417.520706,6603,1729403417,520172107,,693204251000,1729402724314472431,1729402724314353920,2.884740114212036
1729403417.6204953,6604,1729403417,620140440,,693304273000,1729402724314286329,1729402724314349056,3.151573896408081
1729403417.7204778,6605,1729403417,720157162,,693403725000,1729402724314841819,1729402724314345728,3.169445037841797
1729403417.8205333,6606,1729403417,820166848,,693503721000,1729402724314849931,1729402724314342400,3.181128978729248
1729403417.9204998,6607,1729403417,920185792,,693603755000,1729402724314826227,1729402724314339328,3.1984810829162598
1729403418.0237062,6608,1729403418,23243255,,693706960000,1729402724313186042,1729402724314331392,6.181445121765137
1729403418.120914,6609,1729403418,120307125,,693804306000,1729402724314361847,1729402724314327040,3.261610984802246
1729403418.2211778,6610,1729403418,220365033,,693904288000,1729402724314404042,1729402724314322688,3.3262410163879395
1729403418.3210485,6611,1729403418,320319681,,694004263000,1729402724314406402,1729402724314318336,3.2837231159210205
1729403418.4209213,6612,1729403418,420333847,,694104717000,1729402724313960588,1729402724314312704,3.2958149909973145
1729403418.524164,6613,1729403418,523357773,,694206838000,1729402724313493597,1729402724314305792,6.038259029388428
1729403418.620934,6614,1729403418,620370347,,694303746000,1729402724314952773,1729402724314303232,3.325500011444092
1729403418.7210145,6615,1729403418,720377495,,694404301000,1729402724314402977,1729402724314298880,3.330259084701538
1729403418.821157,6616,1729403418,820396421,,694504338000,1729402724314374041,1729402724314294528,3.3511300086975098
1729403418.9211879,6617,1729403418,920413865,,694604301000,1729402724314422235,1729402724314290176,3.365185022354126
1729403419.021183,6618,1729403419,20417902,,694704315000,1729402724314495393,1729402724314286080,3.1992030143737793
1729403419.1211767,6619,1729403419,120434199,,694803837000,1729402724314894161,1729402724314283264,3.390000104904175
1729403419.2214162,6620,1729403419,220487736,,694903719000,1729402724315040856,1729402724314280960,3.436851978302002
1729403419.3209727,6621,1729403419,320457791,,695004704000,1729402724314033448,1729402724314275584,3.4257590770721436
1729403419.4210439,6622,1729403419,420480439,,695103718000,1729402724315036837,1729402724314273280,3.4349069595336914
1729403419.5211203,6623,1729403419,520490717,,695204299000,1729402724314465763,1729402724314269184,3.4357221126556396
