Time,data
1729403414.5600214,62.32
1729403414.5600955,62.33
1729403414.5601501,62.33
1729403414.5602837,62.35
1729403414.5605357,62.35
1729403414.5612354,62.35
1729403414.5613623,62.35
1729403414.5614862,62.35
1729403414.5616174,62.35
1729403414.5617464,62.36
1729403414.5618768,62.37
1729403414.562211,62.37
1729403414.562378,62.38
1729403414.562599,62.38
1729403414.5627196,62.37
1729403414.5628233,62.38
1729403414.5631483,62.38
1729403414.5633626,62.38
1729403414.5640109,62.4
1729403414.564164,62.41
1729403414.5648813,62.42
1729403414.5649962,62.43
1729403414.6020415,62.43
1729403414.701713,62.43
1729403414.8016639,62.44
1729403414.9018698,62.44
1729403415.0023105,62.45
1729403415.102204,62.46
1729403415.2025075,62.46
1729403415.301802,62.46
1729403415.4032397,62.46
1729403415.504715,62.46
1729403415.6047788,62.46
1729403415.7025254,62.46
1729403415.8037353,62.47
1729403415.903221,62.47
1729403416.002545,62.47
1729403416.1032481,62.47
1729403416.2041314,62.47
1729403416.3028424,62.47
1729403416.4028358,62.47
1729403416.503091,62.48
1729403416.6030536,62.48
1729403416.7039165,62.49
1729403416.8030236,62.49
1729403416.9025314,62.48
1729403417.0029907,62.48
1729403417.1035466,62.47
1729403417.2030618,62.48
1729403417.303006,62.49
1729403417.4027698,62.5
1729403417.5026026,62.51
1729403417.6023633,62.51
1729403417.7025964,62.51
1729403417.8023808,62.51
1729403417.9027805,62.51
1729403418.0032208,62.51
1729403418.1030803,62.51
1729403418.2040977,62.52
1729403418.30367,62.52
1729403418.4036198,62.53
1729403418.5041814,62.53
1729403418.6031387,62.53
1729403418.703892,62.53
1729403418.8034925,62.53
1729403418.9030867,62.54
1729403419.0030324,62.54
1729403419.1032245,62.54
1729403419.2030735,62.54
1729403419.3032215,62.54
1729403419.4048412,62.54
1729403419.5039485,62.54
1729403419.6022925,62.54
1729403419.702453,62.54
1729403419.8054035,62.55
1729403419.9024043,62.55
1729403420.003226,62.55
1729403420.1039648,62.55
1729403420.203051,62.56
1729403420.3033404,62.56
1729403420.401679,62.57
1729403420.5027525,62.58
1729403420.6020787,62.59
1729403420.7026713,62.6
1729403420.8027194,62.59
1729403420.9026246,62.59
1729403421.0028791,62.59
1729403421.103709,62.59
1729403421.2042723,62.6
1729403421.3028054,62.6
1729403421.4030583,62.61
1729403421.503485,62.61
1729403421.6037896,62.61
1729403421.7036195,62.61
1729403421.8028517,62.6
1729403421.9024131,62.6
1729403422.002961,62.61
1729403422.1029909,62.62
1729403422.202633,62.62
1729403422.3025866,62.63
1729403422.402887,62.63
1729403422.5027766,62.63
1729403422.6025524,62.63
1729403422.7025664,62.62
1729403422.8025398,62.62
1729403422.9024103,62.62
1729403423.0027347,62.63
1729403423.1025517,62.63
1729403423.2028847,62.63
1729403423.3044298,62.63
1729403423.4038754,62.63
1729403423.5038292,62.62
1729403423.6040168,62.62
1729403423.7038956,62.63
1729403423.8040452,62.63
1729403423.902744,62.64
1729403424.0026438,62.63
1729403424.1029844,62.63
1729403424.2032046,62.63
1729403424.303815,62.63
1729403424.4030097,62.63
1729403424.5032785,62.64
1729403424.6044695,62.65
1729403424.7027676,62.65
1729403424.8032553,62.65
1729403424.9029522,62.64
1729403425.0028903,62.64
1729403425.104018,62.64
1729403425.2045581,62.65
1729403425.3039439,62.66
1729403425.4028955,62.66
1729403425.5033886,62.66
1729403425.6030812,62.66
1729403425.7035122,62.66
1729403425.8033059,62.66
1729403425.9034007,62.66
1729403426.0037699,62.67
1729403426.103191,62.67
1729403426.2057436,62.67
1729403426.302274,62.67
1729403426.4033868,62.67
1729403426.503488,62.67
1729403426.6043677,62.67
1729403426.7040002,62.67
1729403426.8030946,62.68
1729403426.9035215,62.68
1729403427.0023158,62.68
1729403427.103954,62.68
1729403427.2038546,62.68
1729403427.3035655,62.67
1729403427.4034612,62.67
1729403427.5036001,62.67
1729403427.602713,62.68
1729403427.7028766,62.69
1729403427.8029597,62.69
1729403427.902892,62.69
1729403428.0029547,62.69
1729403428.1032064,62.69
1729403428.2049837,62.69
1729403428.3034763,62.69
1729403428.402595,62.69
1729403428.5028985,62.69
1729403428.6029875,62.69
1729403428.7042413,62.69
1729403428.8045244,62.69
1729403428.9024377,62.69
1729403429.0026438,62.69
1729403429.1030982,62.69
1729403429.2030113,62.7
1729403429.3028724,62.7
1729403429.4027503,62.71
1729403429.5035408,62.71
1729403429.6030648,62.71
1729403429.7045133,62.71
1729403429.8030436,62.71
1729403429.9028254,62.71
1729403430.003221,62.71
1729403430.1037383,62.71
1729403430.2030404,62.71
1729403430.3027859,62.71
1729403430.403003,62.7
1729403430.5028071,62.69
1729403430.6030757,62.69
1729403430.7031891,62.69
1729403430.8031332,62.7
1729403430.9031556,62.71
1729403431.003422,62.71
1729403431.1040127,62.72
1729403431.2036588,62.72
1729403431.3029177,62.72
1729403431.403242,62.71
1729403431.5032818,62.71
1729403431.602923,62.71
1729403431.703013,62.72
1729403431.8031101,62.72
1729403431.9033105,62.72
1729403432.0034976,62.72
1729403432.1032386,62.72
1729403432.2035966,62.72
1729403432.3037717,62.71
1729403432.4037478,62.72
1729403432.5036962,62.72
1729403432.6037905,62.73
1729403432.7034764,62.73
1729403432.8033433,62.72
1729403432.9032829,62.72
1729403433.003651,62.72
1729403433.1040058,62.72
1729403433.203297,62.72
1729403433.3028045,62.73
1729403433.4033601,62.73
1729403433.5044227,62.73
1729403433.603284,62.73
1729403433.703642,62.72
1729403433.8031795,62.72
1729403433.9021645,62.72
1729403434.002619,62.73
1729403434.1040878,62.73
1729403434.2025511,62.73
1729403434.3028505,62.73
1729403434.4028282,62.72
1729403434.5027118,62.72
1729403434.6032064,62.72
1729403434.7028506,62.72
1729403434.802639,62.72
1729403434.9029694,62.73
1729403435.002713,62.74
1729403435.102584,62.74
1729403435.2031498,62.74
1729403435.3028662,62.73
1729403435.4031327,62.73
1729403435.5028083,62.74
1729403435.6031725,62.74
1729403435.7041545,62.74
1729403435.802546,62.75
1729403435.9040432,62.75
1729403436.0024757,62.75
1729403436.1029,62.74
1729403436.2041373,62.74
1729403436.3040957,62.74
1729403436.4030147,62.74
1729403436.5031009,62.75
1729403436.6026244,62.75
1729403436.7025633,62.75
1729403436.8028886,62.75
1729403436.902618,62.75
1729403437.0030324,62.74
1729403437.1039238,62.74
1729403437.2039244,62.75
1729403437.3036072,62.75
1729403437.4033515,62.75
1729403437.504389,62.74
1729403437.603513,62.74
1729403437.702679,62.74
1729403437.8030772,62.74
