Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1729403414.56125,2284,1729403412,905447632,base_link,62000.0,103999.99999999997,-215000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.5613973,2285,1729403413,3211072,base_link,68000.0,102999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.561502,2286,1729403413,105474768,base_link,63000.0,104999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.5616279,2287,1729403413,205597464,base_link,61000.0,103999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.5617588,2288,1729403413,305548416,base_link,57000.0,107999.99999999997,-218000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.561959,2289,1729403413,405592880,base_link,64000.0,102999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.5622354,2290,1729403413,505690320,base_link,60000.0,104999.99999999997,-215000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.562411,2291,1729403413,605280016,base_link,69000.0,103999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.56264,2292,1729403413,705574456,base_link,63000.0,103999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.562746,2293,1729403413,805486152,base_link,61000.0,103999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.562863,2294,1729403413,905454848,base_link,66000.0,105999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.5634463,2295,1729403414,3206288,base_link,62000.0,110999.99999999997,-210000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.5635817,2296,1729403414,105559728,base_link,56000.0,115999.99999999997,-216000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.5637546,2297,1729403414,205599424,base_link,65000.0,111999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.564016,2298,1729403414,305275120,base_link,64000.0,107999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.564196,2299,1729403414,405569048,base_link,61000.0,107999.99999999997,-210000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.564855,2300,1729403414,505588744,base_link,67000.0,104999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.6066709,2301,1729403414,605444440,base_link,62000.0,106999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.7062845,2302,1729403414,705492392,base_link,67000.0,105999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.8065042,2303,1729403414,805493088,base_link,63000.0,106999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403414.9063363,2304,1729403414,905443528,base_link,57000.0,105999.99999999997,-215000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.0062337,2305,1729403415,5381224,base_link,57000.0,104999.99999999997,-214000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.1085482,2306,1729403415,105527920,base_link,66000.0,102999.99999999997,-214000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.2051792,2307,1729403415,203125616,base_link,61000.0,103999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.3075376,2308,1729403415,305542568,base_link,67000.0,103999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.4052725,2309,1729403415,403064776,base_link,63000.0,105999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.508399,2310,1729403415,505500216,base_link,66000.0,100999.99999999997,-210000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.6080213,2311,1729403415,605518168,base_link,60000.0,103999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.7073045,2312,1729403415,705431376,base_link,62000.0,102999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.8074682,2313,1729403415,805495584,base_link,57000.0,103999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403415.907276,2314,1729403415,905415792,base_link,67000.0,101999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.007073,2315,1729403416,5525000,base_link,62000.0,101999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.1067727,2316,1729403416,105423208,base_link,67000.0,101999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.207343,2317,1729403416,205556160,base_link,65000.0,101999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.3099675,2318,1729403416,308190368,base_link,60000.0,102999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.4071956,2319,1729403416,405393576,base_link,61000.0,104999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.5069458,2320,1729403416,505400040,base_link,60000.0,105999.99999999997,-216000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.6072526,2321,1729403416,605469248,base_link,61000.0,101999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.7088444,2322,1729403416,705447176,base_link,68000.0,103999.99999999997,-214000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.8074863,2323,1729403416,805460360,base_link,62000.0,105999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403416.9074454,2324,1729403416,905721544,base_link,68000.0,101999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.0078366,2325,1729403417,5523472,base_link,67000.0,102999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.1075015,2326,1729403417,105419448,base_link,61000.0,104999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.205726,2327,1729403417,203209168,base_link,61000.0,108999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.307278,2328,1729403417,305406096,base_link,61000.0,113999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.4071198,2329,1729403417,405414816,base_link,61000.0,110999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.506646,2330,1729403417,505341536,base_link,67000.0,107999.99999999997,-214000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.6099763,2331,1729403417,608340464,base_link,68000.0,105999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.7069423,2332,1729403417,705462392,base_link,60000.0,105999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.8067641,2333,1729403417,805507576,base_link,68000.0,105999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403417.9071472,2334,1729403417,905446760,base_link,62000.0,103999.99999999997,-215000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.0079412,2335,1729403418,5577944,base_link,61000.0,103999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.1072576,2336,1729403418,105361920,base_link,63000.0,103999.99999999997,-215000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.2048652,2337,1729403418,203070104,base_link,63000.0,103999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.3072805,2338,1729403418,305418544,base_link,58000.0,106999.99999999997,-215000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.4102666,2339,1729403418,408179984,base_link,67000.0,105999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.507479,2340,1729403418,505351424,base_link,61000.0,105999.99999999997,-210000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.6076562,2341,1729403418,605410864,base_link,68000.0,101999.99999999997,-208000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.7079659,2342,1729403418,705457304,base_link,61000.0,100999.99999999997,-218000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.8091009,2343,1729403418,805342744,base_link,59000.0,101999.99999999997,-213000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403418.9073575,2344,1729403418,905572696,base_link,63000.0,103999.99999999997,-217000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.0073774,2345,1729403419,5393136,base_link,64000.0,104999.99999999997,-207000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.11061,2346,1729403419,108296112,base_link,60000.0,100999.99999999997,-214000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.205063,2347,1729403419,203091808,base_link,68000.0,102999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.3081965,2348,1729403419,305371504,base_link,61000.0,104999.99999999997,-214000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.408187,2349,1729403419,405325200,base_link,68000.0,100999.99999999997,-208000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.5095778,2350,1729403419,505427896,base_link,62000.0,101999.99999999997,-217000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.6079617,2351,1729403419,605440592,base_link,58000.0,101999.99999999997,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.7078106,2352,1729403419,705380288,base_link,62000.0,105999.99999999997,-210000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.809099,2353,1729403419,805462984,base_link,66000.0,104999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403419.9075577,2354,1729403419,905296936,base_link,61000.0,102999.99999999997,-211000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403420.0079648,2355,1729403420,5448632,base_link,67000.0,106999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403420.1050372,2356,1729403420,102972328,base_link,60000.0,111999.99999999997,-214000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403420.2075171,2357,1729403420,205409280,base_link,69000.0,111999.99999999997,-206000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403420.3071244,2358,1729403420,305323232,base_link,63000.0,107999.99999999997,-217000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729403420.4074974,2359,1729403420,405457184,base_link,57000.0,107999.99999999997,-209000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
