Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1729403414.5631218,630,1729403413,86703608,,True,False,False,True,STABILIZE,3
1729403414.5633209,631,1729403414,86807163,,True,False,False,True,STABILIZE,3
1729403415.0872042,632,1729403415,86884718,,True,False,False,True,STABILIZE,3
1729403416.0866396,633,1729403416,86102051,,True,False,False,True,STABILIZE,3
1729403417.0869823,634,1729403417,86286346,,True,False,False,True,STABILIZE,3
1729403418.087014,635,1729403418,86398531,,True,False,False,True,STABILIZE,3
1729403419.0872643,636,1729403419,86573845,,True,False,False,True,STABILIZE,3
1729403420.0872824,637,1729403420,86684548,,True,False,False,True,STABILIZE,3
1729403421.0873632,638,1729403421,86833529,,True,False,False,True,STABILIZE,3
1729403422.087803,639,1729403422,86961121,,True,False,False,True,STABILIZE,3
1729403423.086622,640,1729403423,86092398,,True,False,False,True,STABILIZE,3
1729403424.086781,641,1729403424,86248546,,True,False,False,True,STABILIZE,3
1729403425.0871706,642,1729403425,86395360,,True,False,False,True,STABILIZE,3
1729403426.087099,643,1729403426,86542119,,True,False,False,True,STABILIZE,3
1729403427.0862892,644,1729403427,85696785,,True,False,False,True,STABILIZE,3
1729403428.0864851,645,1729403428,85831395,,True,False,False,True,STABILIZE,3
1729403429.0864544,646,1729403429,85973561,,True,False,False,True,STABILIZE,3
1729403430.0868227,647,1729403430,86118709,,True,False,False,True,STABILIZE,3
1729403431.087002,648,1729403431,86258949,,True,False,False,True,STABILIZE,3
1729403432.0870128,649,1729403432,86375856,,True,False,False,True,STABILIZE,3
1729403433.0862062,650,1729403433,85502615,,True,False,False,True,STABILIZE,3
1729403434.0862637,651,1729403434,85661244,,True,False,False,True,STABILIZE,3
1729403435.0863879,652,1729403435,85797539,,True,False,False,True,STABILIZE,3
1729403436.0863814,653,1729403436,85925076,,True,False,False,True,STABILIZE,3
1729403437.0865636,654,1729403437,86083297,,True,False,False,True,STABILIZE,3
1729403438.0867167,655,1729403438,86209408,,True,False,False,True,STABILIZE,3
1729403439.0859835,656,1729403439,85370352,,True,False,False,True,STABILIZE,3
1729403440.086038,657,1729403440,85527981,,True,False,False,True,STABILIZE,3
1729403441.086246,658,1729403441,85650258,,True,False,False,True,STABILIZE,3
1729403442.0864515,659,1729403442,85791183,,True,False,False,True,STABILIZE,3
1729403443.0866761,660,1729403443,85957442,,True,False,False,True,STABILIZE,3
1729403444.0867612,661,1729403444,86085923,,True,False,False,True,STABILIZE,3
1729403445.0867407,662,1729403445,86242996,,True,False,False,True,STABILIZE,3
