Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1729403414.5636604,6345,1729403414,243755681,,679141831000,1729402735099552255,1729402735099749120,4.734851837158203
1729403414.5639021,6346,1729403414,343761589,,679242050000,1729402735099337061,1729402735099746048,4.740093231201172
1729403414.5641224,6347,1729403414,443799255,,679341829000,1729402735099579227,1729402735099743744,4.77057409286499
1729403414.5643957,6348,1729403414,543846848,,679441920000,1729402735099540246,1729402735099741440,4.760074138641357
1729403414.644101,6349,1729403414,643815607,,679541793000,1729402735099623209,1729402735099739392,4.78820276260376
1729403414.7441244,6350,1729403414,743834162,,679641822000,1729402735099603153,1729402735099737088,4.808186054229736
1729403414.84419,6351,1729403414,843839570,,679741909000,1729402735099516996,1729402735099734528,4.8173508644104
1729403414.944108,6352,1729403414,943848792,,679841863000,1729402735099568282,1729402735099732224,4.825704097747803
1729403415.0441422,6353,1729403415,43873570,,679941867000,1729402735099583486,1729402735099729920,4.835721969604492
1729403415.1442235,6354,1729403415,143887384,,680041843000,1729402735099605032,1729402735099727616,4.8682780265808105
1729403415.2442892,6355,1729403415,243909829,,680141840000,1729402735099621227,1729402735099725568,4.885758876800537
1729403415.3445642,6356,1729403415,343995329,,680241780000,1729402735099747699,1729402735099723776,4.919128894805908
1729403415.4444938,6357,1729403415,444012736,,680342083000,1729402735099454801,1729402735099721216,4.935165882110596
1729403415.5446305,6358,1729403415,544025458,,680441849000,1729402735099693838,1729402735099719168,4.950778007507324
1729403415.6446843,6359,1729403415,644046088,,680541829000,1729402735099725523,1729402735099717376,4.967350959777832
1729403415.7447016,6360,1729403415,744070329,,680641854000,1729402735099716930,1729402735099715584,4.982110977172852
1729403415.8446195,6361,1729403415,844070717,,680741852000,1729402735099715189,1729402735099713792,4.989871025085449
1729403415.9446726,6362,1729403415,944083384,,680841828000,1729402735099744532,1729402735099712000,5.004296779632568
1729403416.0448298,6363,1729403416,44088643,,680941882000,1729402735099739504,1729402735099710208,4.921517848968506
1729403416.1446342,6364,1729403416,144090865,,681041879000,1729402735099698078,1729402735099708160,5.0124077796936035
1729403416.2448335,6365,1729403416,244123939,,681141841000,1729402735099756208,1729402735099706368,5.037889003753662
1729403416.3447945,6366,1729403416,344122569,,681241870000,1729402735099723254,1729402735099704576,5.043259143829346
1729403416.444811,6367,1729403416,444138106,,681341862000,1729402735099738384,1729402735099703040,5.059147834777832
1729403416.5448468,6368,1729403416,544147347,,681441940000,1729402735099691911,1729402735099701248,5.0155930519104
1729403416.6439474,6369,1729403416,643186976,,681541866000,1729402735099262254,1729402735099698176,4.098574161529541
1729403416.7439268,6370,1729403416,743182161,,681641803000,1729402735099337059,1729402735099695360,4.07018518447876
1729403416.8437545,6371,1729403416,843189661,,681741857000,1729402735099284902,1729402735099692544,4.081315040588379
1729403416.943896,6372,1729403416,943212161,,681841928000,1729402735099204577,1729402735099689472,4.142445087432861
1729403417.0448651,6373,1729403417,44250846,,681941857000,1729402735099873837,1729402735099688448,5.022130012512207
1729403417.1447039,6374,1729403417,144237420,,682041867000,1729402735099790291,1729402735099687168,5.144926071166992
1729403417.243715,6375,1729403417,243259642,,682141885000,1729402735099267614,1729402735099684096,4.19887113571167
1729403417.3447638,6376,1729403417,344276420,,682241862000,1729402735099798790,1729402735099682816,5.215962886810303
1729403417.4445689,6377,1729403417,444210179,,682341768000,1729402735099842226,1729402735099681536,5.190278053283691
1729403417.5435698,6378,1729403417,543223420,,682441859000,1729402735099269883,1729402735099678464,4.179315090179443
1729403417.6435745,6379,1729403417,643231327,,682541874000,1729402735099245651,1729402735099675392,4.212369918823242
1729403417.7436433,6380,1729403417,743257087,,682641813000,1729402735099321883,1729402735099672576,4.233462810516357
1729403417.8437088,6381,1729403417,843272438,,682741834000,1729402735099311707,1729402735099669760,4.242815017700195
1729403417.943784,6382,1729403417,943330624,,682841883000,1729402735099300808,1729402735099666944,4.279666900634766
1729403418.0449502,6383,1729403418,44382068,,682941824000,1729402735099948429,1729402735099665920,5.204517841339111
1729403418.1440687,6384,1729403418,143389364,,683041907000,1729402735099316530,1729402735099663104,4.314667224884033
1729403418.244187,6385,1729403418,243421679,,683141811000,1729402735099430605,1729402735099660544,4.343148231506348
1729403418.3441126,6386,1729403418,343422697,,683241854000,1729402735099385910,1729402735099657984,4.3506669998168945
1729403418.4440036,6387,1729403418,443437197,,683341819000,1729402735099428956,1729402735099655424,4.362204074859619
1729403418.5441706,6388,1729403418,543456586,,683441881000,1729402735099383753,1729402735099652864,4.370721817016602
1729403418.6440063,6389,1729403418,643479419,,683541858000,1729402735099413947,1729402735099650304,4.398630142211914
1729403418.7440045,6390,1729403418,743470753,,683641897000,1729402735099362938,1729402735099647744,4.405036926269531
1729403418.8447075,6391,1729403418,843868364,,683741865000,1729402735099602919,1729402735099645696,4.779723167419434
1729403418.9441466,6392,1729403418,943493234,,683841881000,1729402735099390475,1729402735099643136,4.427463054656982
1729403419.04498,6393,1729403419,44502678,,683941929000,1729402735099897113,1729402735099642112,5.338037014007568
1729403419.1441586,6394,1729403419,143549623,,684041815000,1729402735099491076,1729402735099639808,4.469796180725098
1729403419.2441006,6395,1729403419,243546141,,684141846000,1729402735099460984,1729402735099637504,4.461315155029297
1729403419.3442893,6396,1729403419,343563456,,684241805000,1729402735099506354,1729402735099635200,4.487407207489014
1729403419.444337,6397,1729403419,443587660,,684341849000,1729402735099474280,1729402735099632896,4.512463092803955
1729403419.5442276,6398,1729403419,543571067,,684441830000,1729402735099484632,1729402735099630592,4.497611045837402
1729403419.6442153,6399,1729403419,643621882,,684541816000,1729402735099527002,1729402735099628288,4.539741039276123
1729403419.744377,6400,1729403419,743631863,,684641861000,1729402735099487076,1729402735099625984,4.551537036895752
1729403419.8445506,6401,1729403419,843707752,,684741863000,1729402735099534455,1729402735099623936,4.5995001792907715
1729403419.944269,6402,1729403419,943646678,,684841904000,1729402735099449187,1729402735099621632,4.5727219581604
1729403420.0441551,6403,1729403420,43669956,,684941930000,1729402735099447196,1729402735099619328,4.56850004196167
1729403420.1441786,6404,1729403420,143674770,,685041859000,1729402735099502576,1729402735099617280,4.613185882568359
1729403420.2440174,6405,1729403420,243615770,,685141856000,1729402735099458983,1729402735099615232,4.590295791625977
1729403420.3440316,6406,1729403420,343626474,,685241856000,1729402735099463288,1729402735099613184,4.604907989501953
1729403420.4440699,6407,1729403420,443649529,,685341852000,1729402735099477501,1729402735099611136,4.629240989685059
1729403420.544087,6408,1729403420,543661215,,685441766000,1729402735099573288,1729402735099609344,4.63270378112793
