Time,data
1729690889.292203,20
1729690889.292314,20
1729690889.2925959,20
1729690889.292823,20
1729690889.3740788,19
1729690889.4743676,19
1729690889.5742862,20
1729690889.674611,20
1729690889.77369,20
1729690889.8732903,20
1729690889.9749846,20
1729690890.0734642,20
1729690890.1734076,20
1729690890.2729683,20
1729690890.375816,19
1729690890.475493,19
1729690890.575702,20
1729690890.6739216,20
1729690890.774648,20
1729690890.8752155,20
1729690890.9739807,20
1729690891.076663,20
1729690891.1720982,20
1729690891.2729216,20
1729690891.3744297,20
1729690891.4745622,20
1729690891.5757995,20
1729690891.6756308,20
1729690891.7794201,20
1729690891.8759317,20
1729690891.9742873,20
1729690892.0741692,20
1729690892.1728282,20
1729690892.2738564,20
1729690892.3750546,20
1729690892.478225,20
1729690892.5735235,20
1729690892.673477,20
1729690892.7739787,20
1729690892.8780653,20
1729690892.9756885,20
1729690893.0763586,20
1729690893.1770082,20
1729690893.276764,20
1729690893.3764453,20
1729690893.4751346,20
1729690893.5771322,20
1729690893.6753917,20
1729690893.7770903,20
1729690893.8759325,20
1729690893.9775689,20
1729690894.0797672,20
1729690894.174942,20
1729690894.2738426,20
1729690894.377324,20
1729690894.4762595,20
1729690894.5733085,20
1729690894.6717827,20
1729690894.7739012,20
1729690894.8785832,20
1729690894.9738376,20
1729690895.0749555,20
1729690895.1774278,20
1729690895.2765224,20
1729690895.3758762,20
1729690895.4744878,20
1729690895.5733635,20
1729690895.6742122,20
1729690895.7764418,20
1729690895.8746583,20
1729690895.9736626,20
1729690896.0742435,20
1729690896.1741517,20
1729690896.2763138,20
1729690896.3765106,20
1729690896.4731178,20
1729690896.576763,20
1729690896.6752276,20
1729690896.7766476,20
1729690896.875525,20
1729690896.980513,20
1729690897.0801225,20
1729690897.180551,20
1729690897.280971,20
1729690897.3834674,20
1729690897.4894485,20
1729690897.5859582,20
1729690897.6754813,20
1729690897.775928,19
1729690897.8731651,19
1729690897.9758472,19
1729690898.0731952,19
1729690898.17561,20
1729690898.27295,20
1729690898.3757646,20
1729690898.4755006,20
1729690898.5753832,20
1729690898.6747417,20
1729690898.7795448,20
1729690898.8780212,20
1729690898.974684,20
1729690899.0745249,20
1729690899.1751635,20
1729690899.2721055,20
1729690899.3727777,20
1729690899.4773276,20
1729690899.5740588,20
1729690899.671121,20
1729690899.771271,20
1729690899.8759,20
1729690899.9711273,20
1729690900.0759912,20
1729690900.1745884,20
1729690900.2719495,20
1729690900.3792486,20
1729690900.4799511,20
1729690900.5792508,20
1729690900.672032,20
1729690900.7727928,20
1729690900.8741791,20
1729690900.9801965,20
1729690901.080245,20
1729690901.1849825,20
1729690901.2803054,20
1729690901.3799741,20
1729690901.4805248,20
1729690901.5801885,20
1729690901.682383,20
1729690901.7792437,20
1729690901.876255,20
1729690901.9737883,20
1729690902.073313,20
1729690902.1735268,20
1729690902.2734196,20
1729690902.3763433,20
1729690902.475767,20
1729690902.5730014,20
1729690902.673402,20
1729690902.7754052,20
1729690902.872413,20
1729690902.9784348,20
1729690903.0729456,20
1729690903.1755748,20
1729690903.275194,20
1729690903.3730304,20
1729690903.4742868,20
1729690903.5727468,20
1729690903.6718023,20
1729690903.7718277,20
1729690903.8723032,20
1729690903.9745173,20
1729690904.0729132,20
1729690904.1769304,20
1729690904.2737002,20
1729690904.3742306,20
1729690904.4719708,20
1729690904.5728133,20
1729690904.6744711,20
1729690904.7963452,20
1729690904.8825386,20
1729690904.987317,20
1729690905.0792658,20
1729690905.1807,20
1729690905.2709353,20
1729690905.3723826,20
1729690905.4711032,20
1729690905.5716245,20
1729690905.675998,20
1729690905.7779934,20
1729690905.872999,20
1729690905.9759285,20
1729690906.0762177,20
1729690906.1777909,20
1729690906.2750535,20
1729690906.3736093,20
1729690906.4751904,20
1729690906.578045,20
1729690906.675194,20
1729690906.7751899,20
1729690906.8750124,20
1729690906.9720924,20
1729690907.07533,20
1729690907.1726472,20
1729690907.2741377,20
1729690907.3728797,20
1729690907.4744928,20
