Time,data
1729690889.2921453,0.832
1729690889.2922726,0.976
1729690889.292443,1.118
1729690889.292699,1.264
1729690889.3668242,1.388
1729690889.4671497,1.507
1729690889.5676446,1.616
1729690889.6675532,1.715
1729690889.7690666,1.808
1729690889.868899,1.897
1729690889.9703972,1.979
1729690890.0688982,2.05
1729690890.1703775,2.109
1729690890.2681384,2.162
1729690890.367963,2.212
1729690890.468199,2.256
1729690890.567916,2.301
1729690890.6681066,2.343
1729690890.7698982,2.379
1729690890.8701015,2.409
1729690890.9699876,2.435
1729690891.0697548,2.462
1729690891.1669166,2.48
1729690891.2667978,2.484
1729690891.3677902,2.482
1729690891.4681013,2.477
1729690891.5688806,2.472
1729690891.6692028,2.467
1729690891.7711098,2.463
1729690891.86955,2.461
1729690891.9669924,2.46
1729690892.0670443,2.462
1729690892.1676588,2.465
1729690892.2671084,2.467
1729690892.3683095,2.468
1729690892.4681401,2.468
1729690892.5682085,2.468
1729690892.668102,2.467
1729690892.768068,2.467
1729690892.8681529,2.465
1729690892.9682286,2.46
1729690893.0681374,2.453
1729690893.169077,2.446
1729690893.269267,2.44
1729690893.367147,2.433
1729690893.4671915,2.428
1729690893.5672567,2.429
1729690893.6672702,2.434
1729690893.7671466,2.443
1729690893.8681295,2.455
1729690893.9681518,2.47
1729690894.0661936,2.481
1729690894.1676204,2.496
1729690894.2684643,2.508
1729690894.3662498,2.516
1729690894.4684167,2.521
1729690894.5682874,2.526
1729690894.6662183,2.523
1729690894.7676878,2.518
1729690894.8691783,2.51
1729690894.9683867,2.504
1729690895.0698712,2.496
1729690895.1708646,2.494
1729690895.268907,2.496
1729690895.370445,2.502
1729690895.4665282,2.509
1729690895.5686991,2.52
1729690895.6666107,2.537
1729690895.7687633,2.562
1729690895.8675337,2.599
1729690895.966626,2.648
1729690896.0682955,2.701
1729690896.1705406,2.759
1729690896.2689629,2.817
1729690896.3681414,2.875
1729690896.4684432,2.926
1729690896.5685277,2.977
1729690896.6681256,3.025
1729690896.7685955,3.076
1729690896.8677478,3.132
1729690896.9667718,3.191
1729690897.0687335,3.256
1729690897.1686764,3.325
1729690897.2676234,3.382
1729690897.3677123,3.441
1729690897.4676425,3.501
1729690897.5712748,3.56
1729690897.6691048,3.616
1729690897.7687716,3.677
1729690897.867645,3.732
1729690897.9676483,3.784
1729690898.0680397,3.826
1729690898.1676688,3.863
1729690898.268051,3.893
1729690898.36783,3.919
1729690898.4679012,3.938
1729690898.5709946,3.953
1729690898.6671884,3.967
1729690898.7729805,3.982
1729690898.8679698,3.994
1729690898.9684436,4.008
1729690899.0679774,4.019
1729690899.1671417,4.024
1729690899.2670898,4.024
1729690899.3671572,4.018
1729690899.465947,4.013
1729690899.5661626,4.008
1729690899.66616,4.005
1729690899.766062,4.004
1729690899.8690176,4.004
1729690899.9661765,3.997
1729690900.0684674,3.984
1729690900.169115,3.971
1729690900.2660785,3.96
1729690900.3710716,3.954
1729690900.4681551,3.946
1729690900.5683825,3.942
1729690900.6663902,3.94
1729690900.7671301,3.941
1729690900.8672075,3.945
1729690900.9662812,3.947
1729690901.070174,3.951
1729690901.174424,3.96
1729690901.270354,3.969
1729690901.3692782,3.97
1729690901.4698126,3.974
1729690901.5673988,3.98
1729690901.6683636,3.987
