Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,dgps_numch,dgps_age
1729690889.2923398,1593,1729690888,926276352,/wgs84,3,336371302,729912722,555360,55,97,23,7865,20,514762,1021,1420,242,0,255,4294967295
1729690889.2926304,1594,1729690889,126268416,/wgs84,3,336371298,729912729,555760,55,97,27,9022,20,515162,1021,1418,233,0,255,4294967295
1729690889.2928338,1595,1729690889,126264832,/wgs84,3,336371298,729912729,555760,55,97,27,9022,20,515162,1021,1418,233,0,255,4294967295
1729690889.3743331,1596,1729690889,326264832,/wgs84,3,336371297,729912733,555990,60,105,18,9022,19,515392,1020,1417,270,0,255,4294967295
1729690889.4744556,1597,1729690889,326257920,/wgs84,3,336371297,729912733,555990,60,105,18,9022,19,515392,1020,1417,270,0,255,4294967295
1729690889.574811,1598,1729690889,526254080,/wgs84,3,336371295,729912736,556180,55,97,29,11947,20,515582,1021,1417,289,0,255,4294967295
1729690889.6747239,1599,1729690889,526248704,/wgs84,3,336371295,729912736,556180,55,97,29,11947,20,515582,1021,1417,289,0,255,4294967295
1729690889.7737067,1600,1729690889,726244352,/wgs84,3,336371291,729912740,556450,55,97,20,11947,20,515852,1021,1415,286,0,255,4294967295
1729690889.8734272,1601,1729690889,726238976,/wgs84,3,336371291,729912740,556450,55,97,20,11947,20,515852,1021,1415,286,0,255,4294967295
1729690889.9750865,1602,1729690889,926233856,/wgs84,3,336371291,729912744,556640,55,97,19,11947,20,516042,1020,1414,289,0,255,4294967295
1729690890.0735595,1603,1729690889,926228992,/wgs84,3,336371291,729912744,556640,55,97,19,11947,20,516042,1020,1414,289,0,255,4294967295
1729690890.1735098,1604,1729690890,126223872,/wgs84,3,336371289,729912748,556800,55,97,14,11947,20,516202,1020,1413,286,0,255,4294967295
1729690890.273088,1605,1729690890,126218752,/wgs84,3,336371289,729912748,556800,55,97,14,11947,20,516202,1020,1413,286,0,255,4294967295
1729690890.3759518,1606,1729690890,326206976,/wgs84,3,336371291,729912751,556900,60,105,34,8281,19,516302,1020,1412,283,0,255,4294967295
1729690890.4757667,1607,1729690890,326206976,/wgs84,3,336371291,729912751,556900,60,105,34,8281,19,516302,1020,1412,283,0,255,4294967295
1729690890.5757592,1608,1729690890,526195200,/wgs84,3,336371295,729912755,557000,55,97,25,8281,20,516402,1020,1411,260,0,255,4294967295
1729690890.6740012,1609,1729690890,526195200,/wgs84,3,336371295,729912755,557000,55,97,25,8281,20,516402,1020,1411,260,0,255,4294967295
1729690890.7747908,1610,1729690890,726191616,/wgs84,3,336371299,729912757,557100,55,97,17,8281,20,516502,1019,1410,275,0,255,4294967295
1729690890.8753645,1611,1729690890,726188032,/wgs84,3,336371299,729912757,557100,55,97,17,8281,20,516502,1019,1410,275,0,255,4294967295
1729690890.97404,1612,1729690890,926183424,/wgs84,3,336371303,729912761,557220,55,97,36,5637,20,516622,1019,1409,290,0,255,4294967295
1729690891.0767424,1613,1729690890,926175488,/wgs84,3,336371303,729912761,557220,55,97,36,5637,20,516622,1019,1409,290,0,255,4294967295
1729690891.1723945,1614,1729690891,126175488,/wgs84,3,336371310,729912763,557230,55,97,39,1599,20,516632,1018,1408,227,0,255,4294967295
1729690891.2732334,1615,1729690891,126168064,/wgs84,3,336371310,729912763,557230,55,97,39,1599,20,516632,1018,1408,227,0,255,4294967295
1729690891.3745117,1616,1729690891,326160384,/wgs84,3,336371316,729912763,557230,55,97,31,752,20,516632,1017,1407,237,0,255,4294967295
1729690891.4746487,1617,1729690891,326156032,/wgs84,3,336371316,729912763,557230,55,97,31,752,20,516632,1017,1407,237,0,255,4294967295
1729690891.5758865,1618,1729690891,526149888,/wgs84,3,336371323,729912762,557230,55,97,46,34795,20,516632,1017,1405,241,0,255,4294967295
