Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1729690889.3693218,1596,1729690889,368707832,,1583,1503,1472,1631,0,0,0,0,0,0,0,0,0,0,0,0
1729690889.4719026,1597,1729690889,470987920,,1701,1327,1497,1571,0,0,0,0,0,0,0,0,0,0,0,0
1729690889.569826,1598,1729690889,568645080,,1629,1472,1402,1647,0,0,0,0,0,0,0,0,0,0,0,0
1729690889.669494,1599,1729690889,668717704,,1628,1453,1463,1602,0,0,0,0,0,0,0,0,0,0,0,0
1729690889.7710152,1600,1729690889,768616352,,1603,1471,1569,1507,0,0,0,0,0,0,0,0,0,0,0,0
1729690889.871399,1601,1729690889,869095976,,1652,1419,1564,1545,0,0,0,0,0,0,0,0,0,0,0,0
1729690889.9746037,1602,1729690889,969064856,,1584,1499,1448,1631,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.0712614,1603,1729690890,69309992,,1699,1348,1527,1574,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.1718893,1604,1729690890,169371872,,1451,1621,1640,1449,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.270513,1605,1729690890,269256752,,1558,1551,1505,1620,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.3723178,1606,1729690890,371551096,,1570,1571,1647,1478,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.470601,1607,1729690890,469227976,,1649,1456,1522,1585,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.5732574,1608,1729690890,572016784,,1427,1629,1671,1379,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.6706123,1609,1729690890,669495200,,1470,1581,1679,1372,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.7723799,1610,1729690890,770261616,,1589,1444,1470,1595,0,0,0,0,0,0,0,0,0,0,0,0
1729690890.8726327,1611,1729690890,870260032,,1556,1481,1499,1561,0,0,0,0,0,0,0,0,0,0,0,0
