Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1729690889.4038208,949,1729690888,809513992,,True,True,True,True,GUIDED,5
1729690889.810389,950,1729690889,809681491,,True,True,True,True,GUIDED,5
1729690890.8103824,951,1729690890,809767157,,True,True,True,True,GUIDED,5
1729690891.8105497,952,1729690891,809909379,,True,True,True,True,GUIDED,5
1729690892.8144708,953,1729690892,814060008,,True,True,True,True,GUIDED,5
1729690893.644604,954,1729690893,644173100,,True,True,True,True,LOITER,5
1729690893.8125782,955,1729690893,812196359,,True,True,True,True,LOITER,5
1729690894.8099182,956,1729690894,809322322,,True,True,True,True,LOITER,5
1729690895.8099556,957,1729690895,809490173,,True,True,True,True,LOITER,5
1729690896.8100204,958,1729690896,809593283,,True,True,True,True,LOITER,5
1729690897.8091564,959,1729690897,808746190,,True,True,True,True,LOITER,5
1729690898.811347,960,1729690898,810927227,,True,True,True,True,LOITER,5
1729690899.8104362,961,1729690899,810021800,,True,True,True,True,LOITER,5
1729690900.8115873,962,1729690900,811167522,,True,True,True,True,LOITER,5
1729690901.8097038,963,1729690901,809303947,,True,True,True,True,LOITER,5
1729690902.8098657,964,1729690902,809446520,,True,True,True,True,LOITER,5
1729690903.8110194,965,1729690903,810603094,,True,True,True,True,LOITER,5
1729690904.8103144,966,1729690904,809735056,,True,True,True,True,LOITER,5
1729690905.8094208,967,1729690905,808880074,,True,True,True,True,LOITER,5
1729690906.8123934,968,1729690906,812005314,,True,True,True,True,LOITER,5
1729690907.8097372,969,1729690907,809151036,,True,True,True,True,LOITER,5
1729690908.8100178,970,1729690908,809308832,,True,True,True,True,LOITER,5
1729690909.8089747,971,1729690909,808424979,,True,True,True,True,LOITER,5
1729690910.8130374,972,1729690910,812587090,,True,True,True,True,LOITER,5
1729690911.8091137,973,1729690911,808711811,,True,True,True,True,LOITER,5
1729690912.8112333,974,1729690912,810847477,,True,True,True,True,LOITER,5
1729690913.8105133,975,1729690913,809976884,,True,True,True,True,LOITER,5
1729690914.8096938,976,1729690914,809122439,,True,True,True,True,LOITER,5
1729690915.8088286,977,1729690915,808260328,,True,True,True,True,LOITER,5
1729690916.8090715,978,1729690916,808395697,,True,True,True,True,LOITER,5
1729690917.8100958,979,1729690917,809532863,,True,True,True,True,LOITER,5
1729690918.815275,980,1729690918,814695937,,True,True,True,True,LOITER,5
1729690919.8114085,981,1729690919,810859677,,True,True,True,True,LOITER,5
1729690920.8106358,982,1729690920,809956028,,True,True,True,True,LOITER,5
1729690921.810833,983,1729690921,810096805,,True,True,True,True,LOITER,5
1729690922.8090575,984,1729690922,808241768,,True,True,True,True,LOITER,5
1729690923.8090854,985,1729690923,808392026,,True,True,True,True,LOITER,5
1729690924.8093371,986,1729690924,808519507,,True,True,True,True,LOITER,5
1729690925.8094547,987,1729690925,808657488,,True,True,True,True,LOITER,5
1729690926.812252,988,1729690926,811795043,,True,True,True,True,LOITER,5
1729690927.8084164,989,1729690927,807950209,,True,True,True,True,LOITER,5
1729690928.8095088,990,1729690928,809084023,,True,True,True,True,LOITER,5
1729690929.80874,991,1729690929,808239671,,True,True,True,True,LOITER,5
1729690930.8088346,992,1729690930,808376874,,True,True,True,True,LOITER,5
1729690931.8079393,993,1729690931,807512707,,True,True,True,True,LOITER,5
1729690932.8080592,994,1729690932,807645614,,True,True,True,True,LOITER,5
1729690933.8092504,995,1729690933,808795761,,True,True,True,True,LOITER,5
1729690934.8084068,996,1729690934,807942612,,True,True,True,True,LOITER,5
1729690935.8095143,997,1729690935,809077056,,True,True,True,True,LOITER,5
1729690936.6836486,998,1729690936,683182130,,True,True,False,True,LAND,5
1729690936.8089647,999,1729690936,808197537,,True,True,False,True,LAND,5
1729690937.8095984,1000,1729690937,808444148,,True,True,False,True,LAND,5
1729690938.8133957,1001,1729690938,812587758,,True,True,False,True,LAND,5
