Time,SSID,Quality,Signal
2024-10-23 18:41:35.931174,clover1,63/70,-47
2024-10-23 18:41:40.646476,clover1,64/70,-46
2024-10-23 18:41:45.361657,clover1,62/70,-48
2024-10-23 18:41:50.176030,clover1,61/70,-49
2024-10-23 18:41:54.888965,clover1,59/70,-51
2024-10-23 18:41:59.702312,clover1,48/70,-62
2024-10-23 18:42:04.515823,clover1,59/70,-51
2024-10-23 18:42:09.332125,clover1,58/70,-52
2024-10-23 18:42:14.049459,clover1,58/70,-52
2024-10-23 18:42:18.764472,clover1,62/70,-48
2024-10-23 18:42:23.477583,clover1,61/70,-49
2024-10-23 18:42:28.284511,clover1,64/70,-46
2024-10-23 18:42:32.969867,clover1,64/70,-46
