Time,data
1729690891.117662,1.294
1729690891.1177292,1.266
1729690891.1178641,1.244
1729690891.1180418,1.225
1729690891.1182687,1.215
1729690891.118449,1.216
1729690891.119444,1.227
1729690891.1197233,1.238
1729690891.1200612,1.247
1729690891.1202826,1.248
1729690891.1205068,1.258
1729690891.1207054,1.27
1729690891.121311,1.283
1729690891.1216743,1.293
1729690891.1223793,1.303
1729690891.1224492,1.314
1729690891.1226368,1.328
1729690891.1587684,1.347
1729690891.2551227,1.366
1729690891.3608272,1.381
1729690891.4611557,1.396
1729690891.5568452,1.4
1729690891.6574588,1.401
1729690891.7583346,1.397
1729690891.8576155,1.393
1729690891.955585,1.381
1729690892.0555713,1.378
1729690892.1556807,1.382
1729690892.2548232,1.386
1729690892.3549576,1.38
1729690892.4562926,1.363
1729690892.5560122,1.348
1729690892.6597917,1.332
1729690892.7568529,1.309
1729690892.8566048,1.285
1729690892.9577208,1.271
1729690893.0630553,1.268
1729690893.1586578,1.262
1729690893.256696,1.253
1729690893.355834,1.248
1729690893.4558342,1.247
1729690893.5554135,1.245
1729690893.6560845,1.238
1729690893.7565677,1.236
1729690893.8560352,1.232
1729690893.9564915,1.226
1729690894.0560968,1.219
1729690894.1560767,1.211
1729690894.2556417,1.204
1729690894.3573844,1.196
1729690894.457181,1.189
1729690894.5560486,1.178
1729690894.656907,1.166
1729690894.756641,1.158
1729690894.8571398,1.16
1729690894.957417,1.163
1729690895.0576506,1.171
1729690895.1611147,1.179
1729690895.258485,1.189
1729690895.358655,1.203
1729690895.4570446,1.228
1729690895.558793,1.258
1729690895.6571748,1.294
1729690895.7599754,1.331
1729690895.8622556,1.378
1729690895.9585903,1.428
1729690896.0552282,1.48
1729690896.1574466,1.537
1729690896.259332,1.591
1729690896.3543386,1.654
1729690896.4545434,1.72
1729690896.5560386,1.784
1729690896.6559575,1.852
1729690896.7557266,1.925
1729690896.8573093,1.993
1729690896.9740126,2.059
1729690897.054668,2.132
1729690897.1586306,2.21
1729690897.2555635,2.281
1729690897.356763,2.349
1729690897.454898,2.409
1729690897.5566757,2.467
1729690897.6556504,2.514
1729690897.7556548,2.554
1729690897.8545802,2.592
1729690897.957469,2.628
1729690898.0590255,2.657
1729690898.1560125,2.683
1729690898.2559628,2.701
1729690898.3574197,2.708
1729690898.4552748,2.709
1729690898.5562556,2.706
1729690898.6574273,2.702
1729690898.7607353,2.696
1729690898.8579824,2.69
1729690898.9552734,2.683
1729690899.0555177,2.674
1729690899.1558213,2.665
1729690899.2547746,2.657
1729690899.357035,2.646
1729690899.4557333,2.635
1729690899.5547826,2.628
1729690899.6573656,2.623
1729690899.7571108,2.619
1729690899.8556511,2.616
1729690899.9579315,2.614
1729690900.0580807,2.613
1729690900.157374,2.615
1729690900.2607012,2.621
1729690900.3551967,2.625
1729690900.4568026,2.63
1729690900.5561695,2.639
