Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,dgps_numch,dgps_age
1729690891.1181362,1603,1729690889,600123008,/wgs84,4,336370647,729913130,552400,65,102,92,4236,15,511802,1355,1724,325,0,255,4294967295
1729690891.1184022,1604,1729690889,800123008,/wgs84,4,336370666,729913145,552280,67,103,151,2957,14,511682,1353,1719,326,0,255,4294967295
1729690891.1186411,1605,1729690889,800123008,/wgs84,4,336370666,729913145,552280,67,103,151,2957,14,511682,1353,1719,326,0,255,4294967295
1729690891.1188052,1606,1729690890,123008,/wgs84,4,336370695,729913164,552190,67,103,208,2719,14,511592,1349,1714,357,0,255,4294967295
1729690891.119254,1607,1729690890,123008,/wgs84,4,336370695,729913164,552190,67,103,208,2719,14,511592,1349,1714,357,0,255,4294967295
1729690891.1195972,1608,1729690890,200123008,/wgs84,4,336370731,729913185,552150,67,103,228,2600,14,511552,1346,1714,389,0,255,4294967295
1729690891.1200013,1609,1729690890,200123008,/wgs84,4,336370731,729913185,552150,67,103,228,2600,14,511552,1346,1714,389,0,255,4294967295
1729690891.120238,1610,1729690890,400123008,/wgs84,4,336370769,729913205,552140,67,103,226,2399,14,511542,1345,1716,352,0,255,4294967295
1729690891.1204836,1611,1729690890,400123008,/wgs84,4,336370769,729913205,552140,67,103,226,2399,14,511542,1345,1716,352,0,255,4294967295
1729690891.12067,1612,1729690890,600123008,/wgs84,4,336370808,729913223,552130,67,103,232,2051,14,511532,1344,1718,346,0,255,4294967295
1729690891.1211941,1613,1729690890,600123008,/wgs84,4,336370808,729913223,552130,67,103,232,2051,14,511532,1344,1718,346,0,255,4294967295
1729690891.1214635,1614,1729690890,800123008,/wgs84,4,336370847,729913236,552120,67,103,212,1602,14,511522,1343,1720,336,0,255,4294967295
1729690891.1218927,1615,1729690890,800123008,/wgs84,4,336370847,729913236,552120,67,103,212,1602,14,511522,1343,1720,336,0,255,4294967295
1729690891.122755,1616,1729690891,123008,/wgs84,4,336370882,729913243,552100,67,103,192,938,14,511502,1340,1721,284,0,255,4294967295
1729690891.1693158,1617,1729690891,123008,/wgs84,4,336370882,729913243,552100,67,103,192,938,14,511502,1340,1721,284,0,255,4294967295
1729690891.2668695,1618,1729690891,200123008,/wgs84,4,336370916,729913244,552080,67,103,188,341,14,511481,1336,1722,265,0,255,4294967295
1729690891.375279,1619,1729690891,200123008,/wgs84,4,336370916,729913244,552080,67,103,188,341,14,511481,1336,1722,265,0,255,4294967295
1729690891.4661045,1620,1729690891,400123008,/wgs84,4,336370946,729913241,552000,67,103,163,35738,14,511402,1333,1725,248,0,255,4294967295
1729690891.5726023,1621,1729690891,400123008,/wgs84,4,336370946,729913241,552000,67,103,163,35738,14,511402,1333,1725,248,0,255,4294967295
1729690891.664183,1622,1729690891,600121216,/wgs84,4,336370971,729913234,551950,67,103,143,35110,14,511352,1331,1728,234,0,255,4294967295
1729690891.7637722,1623,1729690891,600119424,/wgs84,4,336370971,729913234,551950,67,103,143,35110,14,511352,1331,1728,234,0,255,4294967295
