Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1729690891.120307,1612,1729690890,664123008,,255,1502,1588,999,1501,999,999,999,999
1729690891.1205351,1613,1729690890,758123008,,255,1502,1588,999,1501,999,999,999,999
1729690891.121389,1614,1729690890,862123008,,255,1501,1587,999,1501,999,999,999,999
1729690891.12179,1615,1729690890,968123008,,255,1501,1588,999,1501,999,999,999,999
1729690891.1232216,1616,1729690891,68123008,,255,1501,1589,999,1501,999,999,999,999
1729690891.1630356,1617,1729690891,160123008,,255,1501,1588,999,1501,999,999,999,999
1729690891.2617157,1618,1729690891,259123008,,255,1501,1588,999,1501,999,999,999,999
1729690891.373598,1619,1729690891,370123008,,255,1501,1588,999,1501,999,999,999,999
1729690891.4627755,1620,1729690891,458123008,,255,1501,1588,999,1501,999,999,999,999
1729690891.5626638,1621,1729690891,559123008,,255,1501,1589,999,1501,999,999,999,999
1729690891.6608324,1622,1729690891,658121216,,255,1501,1589,999,1502,999,999,999,999
1729690891.7610626,1623,1729690891,758119424,,255,1502,1588,999,1501,999,999,999,999
1729690891.8599846,1624,1729690891,858119424,,255,1502,1588,999,1501,999,999,999,999
1729690891.957344,1625,1729690891,955115584,,255,1501,1589,999,1502,999,999,999,999
1729690892.060713,1626,1729690892,58113536,,255,1501,1588,999,1501,999,999,999,999
1729690892.1575394,1627,1729690892,155113280,,255,1501,1588,999,1501,999,999,999,999
1729690892.2578526,1628,1729690892,256113024,,255,1501,1588,999,1501,999,999,999,999
1729690892.357646,1629,1729690892,356112768,,255,1501,1589,999,1501,999,999,999,999
1729690892.4592016,1630,1729690892,458112768,,255,1501,1589,999,1502,999,999,999,999
1729690892.5596845,1631,1729690892,558113024,,255,1502,1588,999,1501,999,999,999,999
1729690892.663662,1632,1729690892,660113792,,255,1501,1587,999,1501,999,999,999,999
1729690892.7584324,1633,1729690892,755114560,,255,1501,1588,999,1501,999,999,999,999
1729690892.8603733,1634,1729690892,858113792,,255,1501,1588,999,1501,999,999,999,999
1729690892.9749525,1635,1729690892,956113280,,255,1501,1588,999,1501,999,999,999,999
1729690893.06389,1636,1729690893,58113280,,255,1501,1587,999,1501,999,999,999,999
1729690893.1601217,1637,1729690893,155113280,,255,1501,1589,999,1501,999,999,999,999
1729690893.2581708,1638,1729690893,255113280,,255,1501,1589,999,1502,999,999,999,999
