Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1729690891.1203043,1612,1729690890,660204008,,1208,1150,1876,1741,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.1205337,1613,1729690890,758500008,,1327,1187,1858,1703,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.1207466,1614,1729690890,862709008,,1376,1256,1849,1688,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.1213343,1615,1729690890,964429008,,1374,1319,1726,1800,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.1217115,1616,1729690891,63220008,,1448,1247,1760,1769,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.1627362,1617,1729690891,160793008,,1390,1313,1749,1780,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.2617354,1618,1729690891,259790008,,1366,1312,1823,1702,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.372254,1619,1729690891,370082008,,1422,1196,1619,1877,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.462704,1620,1729690891,456867008,,1343,1311,1769,1752,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.5626893,1621,1729690891,559901008,,1439,1212,1668,1849,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.66098,1622,1729690891,658439216,,1428,1177,1822,1677,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.7610905,1623,1729690891,758685424,,1372,1157,1769,1807,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.8601496,1624,1729690891,858674424,,1446,1150,1864,1727,0,0,0,0,0,0,0,0,0,0,0,0
1729690891.9574769,1625,1729690891,955682584,,1391,1150,1811,1809,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.0579822,1626,1729690892,56332536,,1416,1150,1858,1761,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.1576593,1627,1729690892,155820280,,1528,1150,1569,1860,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.2579052,1628,1729690892,256405024,,1499,1150,1584,1863,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.3575335,1629,1729690892,356151768,,1368,1150,1835,1788,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.4573507,1630,1729690892,456214768,,1150,1370,1897,1714,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.5598297,1631,1729690892,558225024,,1231,1150,1826,1867,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.6642454,1632,1729690892,660856792,,1150,1357,1931,1743,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.7586372,1633,1729690892,755838560,,1150,1361,1904,1732,0,0,0,0,0,0,0,0,0,0,0,0
1729690892.8580766,1634,1729690892,856483792,,1224,1150,1857,1853,0,0,0,0,0,0,0,0,0,0,0,0
