Time,data
1737285429.1285918,7.73
1737285429.1288033,7.48
1737285429.131623,7.08
1737285429.2274537,7.23
1737285429.3279028,7.82
1737285429.4346821,19.58
1737285429.5334902,15.64
1737285429.633548,9.75
1737285429.7288778,6.54
1737285429.8295257,7.32
1737285429.9295852,11.44
1737285430.029407,16.3
1737285430.1283765,19.89
1737285430.2269762,21.56
1737285430.3274255,21.76
1737285430.426198,20.93
1737285430.528544,19.67
1737285430.6286147,18.76
1737285430.7283652,18.24
1737285430.829506,18.27
1737285430.9333,18.88
1737285431.0269182,19.49
1737285431.1285777,19.64
1737285431.226677,19.54
1737285431.3285751,19.37
1737285431.4275386,19.35
1737285431.5282805,19.26
1737285431.6264777,19.05
1737285431.7286053,18.89
1737285431.827633,18.74
1737285431.9290214,18.77
1737285432.0275695,19.18
1737285432.1308668,19.82
1737285432.2274096,20.24
1737285432.3285434,19.99
1737285432.4275248,19.99
1737285432.5265675,20.1
1737285432.6274328,20.12
1737285432.7266042,19.76
1737285432.8274913,19.58
1737285432.927054,19.35
1737285433.0286138,19.21
1737285433.1275475,18.88
1737285433.226527,18.7
1737285433.3276727,19.14
1737285433.426727,19.54
1737285433.5275736,20.04
1737285433.6266098,19.97
1737285433.727645,20.09
1737285433.8266811,20.41
1737285433.927914,20.75
1737285434.026718,20.97
1737285434.1342108,21.08
1737285434.2279224,21.32
1737285434.3268588,21.15
1737285434.428752,20.63
1737285434.5269005,20.21
1737285434.6262279,19.95
1737285434.7278275,20.02
1737285434.8263052,19.75
1737285434.9272203,19.57
1737285435.0263143,19.5
1737285435.127849,19.63
1737285435.2271812,19.88
1737285435.3278475,20.35
1737285435.4268491,20.67
1737285435.5281014,20.62
1737285435.6268115,20.57
1737285435.7279904,20.56
1737285435.8269835,20.69
1737285435.9292767,20.78
1737285436.0281827,20.59
1737285436.1327317,20.64
1737285436.230021,20.67
1737285436.334168,20.67
1737285436.4332712,20.56
1737285436.5320694,20.45
1737285436.6290445,20.47
1737285436.7312932,20.29
1737285436.8272362,20.16
1737285436.9287832,20.06
1737285437.02632,19.83
1737285437.1270938,19.7
1737285437.226123,19.58
1737285437.3281467,19.55
1737285437.4273148,19.66
1737285437.5285742,19.62
1737285437.6292748,19.97
1737285437.7264953,20.19
1737285437.82761,20.27
1737285437.9263847,20.07
1737285438.02717,19.94
1737285438.1262581,19.88
1737285438.2271676,19.89
1737285438.3264832,19.86
1737285438.4272363,19.93
1737285438.5263214,20.18
1737285438.6275015,20.3
1737285438.727852,20.49
1737285438.827641,20.61
1737285438.927928,20.88
1737285439.0267303,20.92
1737285439.1278846,20.85
1737285439.2275636,21.0
1737285439.3275857,20.86
1737285439.4273481,20.36
1737285439.5279572,20.05
1737285439.6295848,19.59
1737285439.729031,19.51
1737285439.826658,19.39
1737285439.928157,19.37
1737285440.0267541,19.33
1737285440.1267335,19.42
1737285440.2281427,19.28
1737285440.3280282,19.36
1737285440.427675,19.46
1737285440.5269494,19.5
1737285440.628007,19.51
1737285440.7266834,19.4
1737285440.826088,19.42
1737285440.9265218,19.3
1737285441.0283668,19.03
1737285441.1273458,18.74
1737285441.2266433,18.74
1737285441.3277507,19.01
1737285441.4274142,19.46
1737285441.5262074,19.52
