Time,data
1737285429.1285796,2.445
1737285429.1287928,2.453
1737285429.1304142,2.466
1737285429.2273908,2.473
1737285429.3278143,2.477
1737285429.4346535,2.473
1737285429.533472,2.469
1737285429.6334183,2.464
1737285429.7288215,2.461
1737285429.8285658,2.461
1737285429.9295619,2.458
1737285430.0286064,2.452
1737285430.1283615,2.434
1737285430.2269604,2.419
1737285430.3274162,2.411
1737285430.4261885,2.409
1737285430.5285258,2.413
1737285430.6286106,2.42
1737285430.728343,2.431
1737285430.8294814,2.441
1737285430.933252,2.448
1737285431.0261335,2.453
1737285431.1285746,2.458
1737285431.226638,2.462
1737285431.328517,2.465
1737285431.427274,2.466
1737285431.5282679,2.471
1737285431.6262474,2.477
1737285431.7285817,2.487
1737285431.82737,2.496
1737285431.9290025,2.499
1737285432.0275254,2.498
1737285432.1308553,2.495
1737285432.227411,2.494
1737285432.3284903,2.495
1737285432.4273212,2.495
1737285432.5265262,2.49
1737285432.627382,2.486
1737285432.726587,2.482
1737285432.827427,2.476
1737285432.9269993,2.47
1737285433.028502,2.465
1737285433.1274388,2.465
1737285433.2265117,2.468
1737285433.327564,2.473
1737285433.4266498,2.476
1737285433.527508,2.48
1737285433.626541,2.482
1737285433.7275584,2.484
1737285433.8266294,2.485
1737285433.9279006,2.484
1737285434.026684,2.484
1737285434.1341417,2.487
1737285434.2278192,2.491
1737285434.3268466,2.493
1737285434.428633,2.494
1737285434.5268002,2.493
1737285434.6258125,2.489
1737285434.7277482,2.485
1737285434.8262858,2.478
1737285434.927027,2.473
1737285435.0262372,2.469
1737285435.1277902,2.468
1737285435.2271388,2.471
1737285435.3277369,2.471
1737285435.426799,2.469
1737285435.5280561,2.471
1737285435.6267617,2.474
1737285435.7278814,2.474
1737285435.8268368,2.473
1737285435.9292076,2.477
1737285436.0280895,2.48
1737285436.132566,2.479
1737285436.2299392,2.476
1737285436.3341188,2.477
1737285436.4332101,2.479
1737285436.5319638,2.481
1737285436.6289225,2.484
1737285436.7311752,2.486
1737285436.8271813,2.491
1737285436.9287329,2.497
1737285437.026214,2.5
1737285437.127042,2.503
1737285437.2260096,2.503
1737285437.3280973,2.505
1737285437.4271803,2.506
1737285437.5285118,2.509
1737285437.6291769,2.509
1737285437.7264538,2.507
1737285437.8275554,2.508
1737285437.9263747,2.51
1737285438.027105,2.509
1737285438.126154,2.511
1737285438.2270894,2.513
1737285438.3263643,2.512
1737285438.4271538,2.506
1737285438.5262105,2.501
1737285438.627285,2.498
1737285438.7278407,2.495
1737285438.8275642,2.493
1737285438.9278498,2.493
1737285439.0267131,2.496
1737285439.1276956,2.501
1737285439.227369,2.506
1737285439.3275456,2.508
1737285439.427282,2.508
1737285439.527882,2.508
1737285439.6295414,2.505
1737285439.7289212,2.502
1737285439.8265967,2.498
1737285439.9281106,2.495
1737285440.0266736,2.495
1737285440.1264997,2.494
1737285440.2281265,2.493
1737285440.328012,2.492
1737285440.4276562,2.491
1737285440.5268295,2.488
1737285440.6279545,2.485
1737285440.726581,2.484
1737285440.826037,2.483
1737285440.9263968,2.483
1737285441.0277605,2.486
1737285441.1272445,2.49
1737285441.2266314,2.494
1737285441.3276298,2.494
1737285441.4270484,2.494
1737285441.5261576,2.496
1737285441.628232,2.502
1737285441.726732,2.504
1737285441.828449,2.505
1737285441.928157,2.504
1737285442.0291295,2.504
1737285442.1282315,2.502
1737285442.2284882,2.499
1737285442.3261454,2.496
1737285442.4287472,2.497
1737285442.5274577,2.5
1737285442.6284604,2.505
1737285442.7285988,2.509
1737285442.8263505,2.511
1737285442.930526,2.51
1737285443.0264099,2.509
1737285443.1292982,2.51
1737285443.231975,2.508
1737285443.3288493,2.503
1737285443.427909,2.499
1737285443.5270967,2.499
1737285443.62804,2.497
1737285443.7265592,2.494
1737285443.8275971,2.493
1737285443.9372542,2.489
1737285444.0273361,2.485
1737285444.126101,2.48
1737285444.2263036,2.478
1737285444.328236,2.473
1737285444.429723,2.467
1737285444.5265856,2.463
1737285444.627524,2.465
1737285444.7263682,2.467
1737285444.8280902,2.467
1737285444.9268546,2.467
1737285445.0280592,2.468
1737285445.127203,2.47
1737285445.226178,2.473
1737285445.327433,2.475
1737285445.4253922,2.477
1737285445.527454,2.478
1737285445.6265445,2.481
1737285445.7283595,2.481
1737285445.8263757,2.482
1737285445.926906,2.482
1737285446.0273507,2.481
1737285446.1263871,2.483
1737285446.2334068,2.485
1737285446.326283,2.488
1737285446.4284563,2.493
1737285446.5264344,2.496
1737285446.627517,2.498
1737285446.7263618,2.499
1737285446.8276846,2.499
1737285446.9265811,2.5
1737285447.0276263,2.503
1737285447.1265898,2.504
1737285447.2258012,2.502
1737285447.3277261,2.501
1737285447.4265919,2.501
1737285447.5266454,2.5
1737285447.625846,2.5
1737285447.7265537,2.499
1737285447.8257558,2.5
1737285447.9282455,2.501
1737285448.0267868,2.501
1737285448.127942,2.5
1737285448.2266965,2.497
1737285448.3262584,2.492
1737285448.4260132,2.486
1737285448.5270033,2.482
1737285448.6265373,2.477
1737285448.7273781,2.471
1737285448.8267677,2.464
1737285448.9299922,2.475
1737285449.026902,2.476
1737285449.127671,2.471
1737285449.227954,2.47
1737285449.326803,2.473
1737285449.4272256,2.486
1737285449.5262406,2.502
1737285449.6271822,2.515
1737285449.7279575,2.529
1737285449.83426,2.542
1737285449.9332495,2.556
1737285450.0289884,2.564
1737285450.1261413,2.574
1737285450.225405,2.584
1737285450.327431,2.589
1737285450.4264061,2.597
1737285450.5283227,2.599
1737285450.6273687,2.599
1737285450.7263732,2.604
1737285450.8264785,2.617
1737285450.927594,2.627
1737285451.0270538,2.644
1737285451.124991,2.664
1737285451.2271137,2.671
1737285451.3265514,2.677
1737285451.4263794,2.681
1737285451.5281518,2.695
1737285451.6264832,2.709
1737285451.7263014,2.726
1737285451.827171,2.737
1737285451.9285514,2.744
1737285452.026278,2.753
1737285452.12536,2.763
1737285452.227169,2.776
1737285452.325775,2.791
1737285452.4276803,2.808
1737285452.5267308,2.827
1737285452.6255758,2.841
1737285452.7277298,2.853
1737285452.826743,2.861
1737285452.9269137,2.86
1737285453.0258236,2.861
1737285453.1258554,2.863
1737285453.226841,2.866
1737285453.3257046,2.872
1737285453.427741,2.881
1737285453.5268319,2.893
1737285453.6270049,2.909
1737285453.7259085,2.926
1737285453.8278668,2.945
1737285453.9298255,2.958
1737285454.0256674,2.971
1737285454.1276877,2.986
