Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,dgps_numch,dgps_age
1737285429.128668,12557,1737285428,857809664,/wgs84,4,336371293,729912535,533220,69,98,5,22708,16,492622,1041,1423,318,0,255,4294967295
1737285429.1289248,12558,1737285428,857805056,/wgs84,4,336371293,729912535,533220,69,98,5,22708,16,492622,1041,1423,318,0,255,4294967295
1737285429.136546,12559,1737285429,57797888,/wgs84,4,336371293,729912536,533270,69,98,6,22708,16,492672,1044,1426,259,0,255,4294967295
1737285429.2327313,12560,1737285429,57794816,/wgs84,4,336371293,729912536,533270,69,98,6,22708,16,492672,1044,1426,259,0,255,4294967295
1737285429.3407128,12561,1737285429,257791232,/wgs84,4,336371293,729912536,533300,69,98,2,22708,16,492702,1047,1428,319,0,255,4294967295
1737285429.4446158,12562,1737285429,257787392,/wgs84,4,336371293,729912536,533300,69,98,2,22708,16,492702,1047,1428,319,0,255,4294967295
1737285429.5402942,12563,1737285429,457784832,/wgs84,4,336371294,729912537,533330,69,98,0,22708,16,492732,1051,1431,305,0,255,4294967295
1737285429.6434598,12564,1737285429,457780992,/wgs84,4,336371294,729912537,533330,69,98,0,22708,16,492732,1051,1431,305,0,255,4294967295
1737285429.7333984,12565,1737285429,657775872,/wgs84,4,336371294,729912536,533350,69,98,4,22708,16,492752,1053,1433,313,0,255,4294967295
1737285429.8425584,12566,1737285429,657769216,/wgs84,4,336371294,729912536,533350,69,98,4,22708,16,492752,1053,1433,313,0,255,4294967295
1737285429.9411173,12567,1737285429,857764352,/wgs84,4,336371294,729912537,533390,69,98,6,22708,16,492792,1056,1436,277,0,255,4294967295
1737285430.0386481,12568,1737285429,857755648,/wgs84,4,336371294,729912537,533390,69,98,6,22708,16,492792,1056,1436,277,0,255,4294967295
1737285430.1379304,12569,1737285430,57748736,/wgs84,4,336371294,729912537,533420,69,98,9,22708,16,492822,1059,1439,307,0,255,4294967295
1737285430.2408426,12570,1737285430,57745920,/wgs84,4,336371294,729912537,533420,69,98,9,22708,16,492822,1059,1439,307,0,255,4294967295
1737285430.3342757,12571,1737285430,257740288,/wgs84,4,336371293,729912537,533440,69,98,5,22708,16,492842,1060,1441,260,0,255,4294967295
1737285430.4335635,12572,1737285430,257734656,/wgs84,4,336371293,729912537,533440,69,98,5,22708,16,492842,1060,1441,260,0,255,4294967295
1737285430.535047,12573,1737285430,457730304,/wgs84,4,336371293,729912536,533470,69,98,5,22708,16,492872,1061,1443,269,0,255,4294967295
1737285430.6330235,12574,1737285430,457726208,/wgs84,4,336371293,729912536,533470,69,98,5,22708,16,492872,1061,1443,269,0,255,4294967295
1737285430.735,12575,1737285430,657722112,/wgs84,4,336371292,729912536,533500,69,98,6,22708,16,492902,1061,1444,223,0,255,4294967295
1737285430.8343968,12576,1737285430,657717504,/wgs84,4,336371292,729912536,533500,69,98,6,22708,16,492902,1061,1444,223,0,255,4294967295
1737285430.935135,12577,1737285430,857710592,/wgs84,4,336371292,729912535,533510,69,98,4,22708,16,492912,1062,1445,245,0,255,4294967295
1737285431.034472,12578,1737285430,857706496,/wgs84,4,336371292,729912535,533510,69,98,4,22708,16,492912,1062,1445,245,0,255,4294967295
1737285431.1409786,12579,1737285431,57693952,/wgs84,4,336371292,729912535,533540,69,98,0,22708,16,492942,1063,1447,246,0,255,4294967295
1737285431.2326748,12580,1737285431,57688832,/wgs84,4,336371292,729912535,533540,69,98,0,22708,16,492942,1063,1447,246,0,255,4294967295
1737285431.3332348,12581,1737285431,257681152,/wgs84,4,336371293,729912536,533570,69,98,6,22708,16,492972,1064,1447,235,0,255,4294967295
1737285431.4373453,12582,1737285431,257673984,/wgs84,4,336371293,729912536,533570,69,98,6,22708,16,492972,1064,1447,235,0,255,4294967295
1737285431.5336785,12583,1737285431,457670144,/wgs84,4,336371293,729912537,533600,69,98,3,22708,16,493002,1064,1448,274,0,255,4294967295
1737285431.6330993,12584,1737285431,457666560,/wgs84,4,336371293,729912537,533600,69,98,3,22708,16,493002,1064,1448,274,0,255,4294967295
1737285431.735406,12585,1737285431,657659904,/wgs84,4,336371293,729912538,533620,69,98,5,22708,16,493022,1065,1449,241,0,255,4294967295
1737285431.8326159,12586,1737285431,657655040,/wgs84,4,336371293,729912538,533620,69,98,5,22708,16,493022,1065,1449,241,0,255,4294967295
1737285431.9365585,12587,1737285431,857643776,/wgs84,4,336371293,729912539,533640,69,98,11,22708,16,493042,1066,1449,276,0,255,4294967295
1737285432.0328653,12588,1737285431,857638912,/wgs84,4,336371293,729912539,533640,69,98,11,22708,16,493042,1066,1449,276,0,255,4294967295
1737285432.1348648,12589,1737285432,57636352,/wgs84,4,336371293,729912540,533650,69,98,4,22708,16,493052,1066,1449,234,0,255,4294967295
1737285432.2322874,12590,1737285432,57632512,/wgs84,4,336371293,729912540,533650,69,98,4,22708,16,493052,1066,1449,234,0,255,4294967295
1737285432.3335998,12591,1737285432,257625856,/wgs84,4,336371293,729912541,533670,69,98,8,22708,16,493072,1066,1449,208,0,255,4294967295
1737285432.4343224,12592,1737285432,257620736,/wgs84,4,336371293,729912541,533670,69,98,8,22708,16,493072,1066,1449,208,0,255,4294967295
1737285432.5333765,12593,1737285432,457620736,/wgs84,4,336371293,729912542,533690,69,98,1,22708,16,493092,1067,1449,233,0,255,4294967295
1737285432.63726,12594,1737285432,457617408,/wgs84,4,336371293,729912542,533690,69,98,1,22708,16,493092,1067,1449,233,0,255,4294967295
1737285432.7343352,12595,1737285432,657612800,/wgs84,4,336371294,729912544,533710,69,98,6,22708,16,493112,1067,1449,200,0,255,4294967295
1737285432.8357618,12596,1737285432,657609728,/wgs84,4,336371294,729912544,533710,69,98,6,22708,16,493112,1067,1449,200,0,255,4294967295
1737285432.9344838,12597,1737285432,857605632,/wgs84,4,336371294,729912546,533740,69,98,5,22708,16,493142,1067,1450,260,0,255,4294967295
1737285433.035734,12598,1737285432,857601536,/wgs84,4,336371294,729912546,533740,69,98,5,22708,16,493142,1067,1450,260,0,255,4294967295
1737285433.1341515,12599,1737285433,57594880,/wgs84,4,336371294,729912548,533760,69,98,8,22708,16,493162,1068,1450,201,0,255,4294967295
1737285433.2337172,12600,1737285433,57589504,/wgs84,4,336371294,729912548,533760,69,98,8,22708,16,493162,1068,1450,201,0,255,4294967295
1737285433.3325477,12601,1737285433,257588736,/wgs84,4,336371294,729912551,533810,69,98,7,22708,16,493211,1068,1450,224,0,255,4294967295
1737285433.4346845,12602,1737285433,257582080,/wgs84,4,336371294,729912551,533810,69,98,7,22708,16,493211,1068,1450,224,0,255,4294967295
1737285433.5341332,12603,1737285433,457578240,/wgs84,4,336371294,729912553,533830,69,98,9,22708,16,493232,1068,1450,169,0,255,4294967295
1737285433.6347542,12604,1737285433,457570048,/wgs84,4,336371294,729912553,533830,69,98,9,22708,16,493232,1068,1450,169,0,255,4294967295
1737285433.734743,12605,1737285433,657567232,/wgs84,4,336371294,729912555,533870,69,98,6,22708,16,493272,1068,1451,158,0,255,4294967295
1737285433.8320272,12606,1737285433,657563904,/wgs84,4,336371294,729912555,533870,69,98,6,22708,16,493272,1068,1451,158,0,255,4294967295
1737285433.9332314,12607,1737285433,857560576,/wgs84,4,336371294,729912557,533900,69,98,4,22708,16,493302,1067,1451,243,0,255,4294967295
1737285434.0333226,12608,1737285433,857557248,/wgs84,4,336371294,729912557,533900,69,98,4,22708,16,493302,1067,1451,243,0,255,4294967295
1737285434.1361868,12609,1737285434,57556224,/wgs84,4,336371293,729912558,533910,69,98,5,22708,16,493312,1067,1451,245,0,255,4294967295
1737285434.234827,12610,1737285434,57552128,/wgs84,4,336371293,729912558,533910,69,98,5,22708,16,493312,1067,1451,245,0,255,4294967295
1737285434.331742,12611,1737285434,257547520,/wgs84,4,336371293,729912559,533950,69,98,4,22708,16,493352,1067,1451,203,0,255,4294967295
1737285434.433178,12612,1737285434,257544192,/wgs84,4,336371293,729912559,533950,69,98,4,22708,16,493352,1067,1451,203,0,255,4294967295
1737285434.5318244,12613,1737285434,457536768,/wgs84,4,336371293,729912560,533980,69,98,4,22708,16,493382,1067,1451,196,0,255,4294967295
1737285434.633872,12614,1737285434,457532416,/wgs84,4,336371293,729912560,533980,69,98,4,22708,16,493382,1067,1451,196,0,255,4294967295
1737285434.7350454,12615,1737285434,657529088,/wgs84,4,336371292,729912560,533990,69,98,6,22708,16,493392,1066,1451,259,0,255,4294967295
1737285434.83413,12616,1737285434,657521920,/wgs84,4,336371292,729912560,533990,69,98,6,22708,16,493392,1066,1451,259,0,255,4294967295
1737285434.9352136,12617,1737285434,857518080,/wgs84,4,336371291,729912561,534020,69,98,8,22708,16,493422,1066,1451,258,0,255,4294967295
1737285435.0318995,12618,1737285434,857512704,/wgs84,4,336371291,729912561,534020,69,98,8,22708,16,493422,1066,1451,258,0,255,4294967295
1737285435.1346827,12619,1737285435,57508864,/wgs84,4,336371290,729912561,534040,69,98,12,22708,16,493442,1066,1451,231,0,255,4294967295
1737285435.2339149,12620,1737285435,57504768,/wgs84,4,336371290,729912561,534040,69,98,12,22708,16,493442,1066,1451,231,0,255,4294967295
1737285435.3333995,12621,1737285435,257500160,/wgs84,4,336371288,729912561,534070,69,98,11,22708,16,493472,1066,1452,256,0,255,4294967295
1737285435.4336486,12622,1737285435,257494016,/wgs84,4,336371288,729912561,534070,69,98,11,22708,16,493472,1066,1452,256,0,255,4294967295
1737285435.5329165,12623,1737285435,457487104,/wgs84,4,336371288,729912562,534110,69,98,3,22708,16,493512,1066,1452,227,0,255,4294967295
1737285435.6350646,12624,1737285435,457479936,/wgs84,4,336371288,729912562,534110,69,98,3,22708,16,493512,1066,1452,227,0,255,4294967295
1737285435.734524,12625,1737285435,657475840,/wgs84,4,336371288,729912561,534150,69,98,6,22708,16,493552,1066,1452,199,0,255,4294967295
1737285435.8348272,12626,1737285435,657470464,/wgs84,4,336371288,729912561,534150,69,98,6,22708,16,493552,1066,1452,199,0,255,4294967295
1737285435.9362023,12627,1737285435,857464576,/wgs84,4,336371287,729912561,534180,69,98,8,22708,16,493582,1066,1452,203,0,255,4294967295
1737285436.0333848,12628,1737285435,857459968,/wgs84,4,336371287,729912561,534180,69,98,8,22708,16,493582,1066,1452,203,0,255,4294967295
1737285436.1362457,12629,1737285436,57455616,/wgs84,4,336371287,729912562,534210,69,98,6,22708,16,493612,1066,1452,209,0,255,4294967295
1737285436.2368596,12630,1737285436,57450496,/wgs84,4,336371287,729912562,534210,69,98,6,22708,16,493612,1066,1452,209,0,255,4294967295
1737285436.3418837,12631,1737285436,257443840,/wgs84,4,336371286,729912563,534230,69,98,1,22708,16,493631,1065,1452,239,0,255,4294967295
1737285436.438221,12632,1737285436,257440768,/wgs84,4,336371286,729912563,534230,69,98,1,22708,16,493631,1065,1452,239,0,255,4294967295
1737285436.5371923,12633,1737285436,457436928,/wgs84,4,336371286,729912563,534260,69,98,4,22708,16,493662,1065,1452,231,0,255,4294967295
1737285436.6428707,12634,1737285436,457433088,/wgs84,4,336371286,729912563,534260,69,98,4,22708,16,493662,1065,1452,231,0,255,4294967295
1737285436.7407963,12635,1737285436,657430272,/wgs84,4,336371285,729912564,534280,69,98,5,22708,16,493682,1065,1452,211,0,255,4294967295
1737285436.831185,12636,1737285436,657426432,/wgs84,4,336371285,729912564,534280,69,98,5,22708,16,493682,1065,1452,211,0,255,4294967295
1737285436.9439228,12637,1737285436,857420288,/wgs84,4,336371284,729912564,534300,69,98,9,22708,16,493702,1064,1452,196,0,255,4294967295
1737285437.0402443,12638,1737285436,857416960,/wgs84,4,336371284,729912564,534300,69,98,9,22708,16,493702,1064,1452,196,0,255,4294967295
1737285437.140976,12639,1737285437,57407744,/wgs84,4,336371282,729912564,534310,69,98,7,22708,16,493712,1063,1452,209,0,255,4294967295
1737285437.2372434,12640,1737285437,57401600,/wgs84,4,336371282,729912564,534310,69,98,7,22708,16,493712,1063,1452,209,0,255,4294967295
1737285437.333865,12641,1737285437,257398784,/wgs84,4,336371281,729912565,534340,69,98,8,22708,16,493742,1063,1452,209,0,255,4294967295
1737285437.434204,12642,1737285437,257395200,/wgs84,4,336371281,729912565,534340,69,98,8,22708,16,493742,1063,1452,209,0,255,4294967295
1737285437.5332007,12643,1737285437,457390336,/wgs84,4,336371280,729912564,534370,69,98,7,22708,16,493772,1062,1451,156,0,255,4294967295
1737285437.6342163,12644,1737285437,457387008,/wgs84,4,336371280,729912564,534370,69,98,7,22708,16,493772,1062,1451,156,0,255,4294967295
1737285437.733286,12645,1737285437,657384192,/wgs84,4,336371279,729912564,534380,69,98,9,22708,16,493782,1061,1451,209,0,255,4294967295
1737285437.8323293,12646,1737285437,657378304,/wgs84,4,336371279,729912564,534380,69,98,9,22708,16,493782,1061,1451,209,0,255,4294967295
1737285437.934316,12647,1737285437,857373696,/wgs84,4,336371278,729912564,534410,69,98,8,22708,16,493812,1061,1451,191,0,255,4294967295
1737285438.0351603,12648,1737285437,857367296,/wgs84,4,336371278,729912564,534410,69,98,8,22708,16,493812,1061,1451,191,0,255,4294967295
1737285438.1351988,12649,1737285438,57361152,/wgs84,4,336371277,729912563,534430,69,98,11,22708,16,493832,1060,1450,191,0,255,4294967295
1737285438.2372582,12650,1737285438,57354752,/wgs84,4,336371277,729912563,534430,69,98,11,22708,16,493832,1060,1450,191,0,255,4294967295
1737285438.3346844,12651,1737285438,257349888,/wgs84,4,336371276,729912563,534450,69,98,6,22708,16,493852,1060,1450,229,0,255,4294967295
1737285438.433397,12652,1737285438,257341952,/wgs84,4,336371276,729912563,534450,69,98,6,22708,16,493852,1060,1450,229,0,255,4294967295
1737285438.5314803,12653,1737285438,457332736,/wgs84,4,336371276,729912562,534450,69,98,8,22708,16,493852,1059,1450,177,0,255,4294967295
1737285438.6336226,12654,1737285438,457326080,/wgs84,4,336371276,729912562,534450,69,98,8,22708,16,493852,1059,1450,177,0,255,4294967295
1737285438.7315645,12655,1737285438,657321984,/wgs84,4,336371275,729912561,534470,69,98,7,22708,16,493872,1059,1450,177,0,255,4294967295
1737285438.833996,12656,1737285438,657317120,/wgs84,4,336371275,729912561,534470,69,98,7,22708,16,493872,1059,1450,177,0,255,4294967295
1737285438.9346242,12657,1737285438,857310720,/wgs84,4,336371274,729912561,534480,69,98,4,22708,16,493882,1058,1450,156,0,255,4294967295
1737285439.0333385,12658,1737285438,857306624,/wgs84,4,336371274,729912561,534480,69,98,4,22708,16,493882,1058,1450,156,0,255,4294967295
1737285439.1353295,12659,1737285439,57306624,/wgs84,4,336371274,729912561,534500,69,98,5,22708,16,493902,1057,1449,206,0,255,4294967295
