Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1737285429.131932,12559,1737285429,129797888,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285429.2326648,12560,1737285429,229794816,,255,1500,1502,1007,1502,999,1500,999,1000
1737285429.3371837,12561,1737285429,333791232,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285429.4402657,12562,1737285429,437787392,,255,1500,1502,1005,1502,999,1500,999,1000
1737285429.539997,12563,1737285429,536784832,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285429.6395357,12564,1737285429,637780992,,255,1500,1502,1006,1503,999,1500,1000,999
1737285429.7309744,12565,1737285429,727775872,,255,1500,1502,1007,1502,999,1500,999,1000
1737285429.8340032,12566,1737285429,830769216,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285429.932339,12567,1737285429,929764352,,255,1500,1502,1007,1503,999,1500,999,1000
1737285430.0331092,12568,1737285430,31755648,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285430.131929,12569,1737285430,127748736,,255,1500,1502,1006,1503,999,1500,1000,999
1737285430.2294416,12570,1737285430,226745920,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285430.3319871,12571,1737285430,330740288,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285430.4309962,12572,1737285430,428734656,,255,1500,1502,1007,1502,999,1500,999,1000
1737285430.5322995,12573,1737285430,530730304,,255,1500,1502,1007,1502,1000,1500,1000,999
1737285430.6307256,12574,1737285430,628726208,,255,1500,1502,1007,1502,999,1500,999,1000
1737285430.7321596,12575,1737285430,730722112,,255,1500,1502,1006,1502,1000,1500,999,1000
1737285430.8310184,12576,1737285430,829717504,,255,1500,1502,1006,1502,999,1500,1000,999
1737285430.9335167,12577,1737285430,930710592,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285431.032631,12578,1737285431,29706496,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285431.1382794,12579,1737285431,130693952,,255,1500,1502,1007,1502,999,1500,999,1000
1737285431.2292123,12580,1737285431,227688832,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285431.3315344,12581,1737285431,329681152,,255,1500,1502,1007,1503,999,1500,999,1000
1737285431.432537,12582,1737285431,430673984,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285431.5310159,12583,1737285431,529670144,,255,1500,1502,1006,1502,999,1500,1000,999
1737285431.6325283,12584,1737285431,630666560,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285431.7328444,12585,1737285431,731659904,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285431.8318431,12586,1737285431,829655040,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285431.9333677,12587,1737285431,931643776,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285432.031626,12588,1737285432,27638912,,255,1500,1502,1007,1502,999,1500,999,1000
1737285432.1344643,12589,1737285432,129636352,,255,1500,1502,1007,1502,1000,1500,1000,999
1737285432.230637,12590,1737285432,228632512,,255,1500,1502,1007,1502,999,1500,999,1000
1737285432.331151,12591,1737285432,329625856,,255,1500,1502,1006,1502,1000,1500,999,1000
1737285432.432497,12592,1737285432,430620736,,255,1500,1502,1006,1502,999,1500,1000,999
1737285432.5313787,12593,1737285432,529620736,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285432.6350172,12594,1737285432,633617408,,255,1500,1502,1006,1502,999,1500,1000,999
1737285432.7309315,12595,1737285432,729612800,,255,1500,1502,1007,1502,999,1500,999,1000
1737285432.8352597,12596,1737285432,831609728,,255,1500,1502,1006,1502,999,1500,1000,999
1737285432.931233,12597,1737285432,929605632,,255,1500,1502,1007,1502,999,1500,999,1000
1737285433.0304193,12598,1737285433,28601536,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285433.1333203,12599,1737285433,127594880,,255,1500,1502,1007,1502,999,1500,999,1000
1737285433.230226,12600,1737285433,228589504,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285433.3305163,12601,1737285433,328588736,,255,1500,1502,1007,1502,999,1500,999,1000
1737285433.4313872,12602,1737285433,429582080,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285433.5332284,12603,1737285433,531578240,,255,1500,1502,1007,1502,999,1500,999,1000
1737285433.6315918,12604,1737285433,629570048,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285433.7324898,12605,1737285433,731567232,,255,1500,1502,1006,1502,999,1500,999,1000
1737285433.831239,12606,1737285433,829563904,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285433.9323933,12607,1737285433,930560576,,255,1500,1502,1006,1502,999,1500,1000,999
1737285434.0311518,12608,1737285434,29557248,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285434.1355264,12609,1737285434,131556224,,255,1500,1502,1006,1503,999,1500,1000,999
1737285434.2312396,12610,1737285434,230552128,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285434.3283958,12611,1737285434,327547520,,255,1500,1502,1006,1502,999,1500,1000,999
1737285434.432221,12612,1737285434,430544192,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285434.5297124,12613,1737285434,527536768,,255,1500,1502,1006,1502,999,1500,1000,999
1737285434.6285017,12614,1737285434,626532416,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285434.7328424,12615,1737285434,730529088,,255,1500,1502,1006,1502,999,1500,1000,999
1737285434.8318496,12616,1737285434,829521920,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285434.931896,12617,1737285434,930518080,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.0289028,12618,1737285435,27512704,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.1314259,12619,1737285435,128508864,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.2317104,12620,1737285435,229504768,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.3296053,12621,1737285435,328500160,,255,1500,1502,1006,1503,999,1500,1000,999
1737285435.4286146,12622,1737285435,427494016,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.5308492,12623,1737285435,528487104,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.634587,12624,1737285435,630479936,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.7306402,12625,1737285435,729475840,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.8298528,12626,1737285435,828470464,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285435.9339979,12627,1737285435,932464576,,255,1500,1502,1007,1502,999,1500,999,1000
1737285436.02962,12628,1737285436,28459968,,255,1500,1502,1007,1502,1000,1500,999,1000
