Time,SSID,Quality,Signal
2025-01-19 16:17:16.921141,clover1,56/70,-54
2025-01-19 16:17:21.716856,clover1,56/70,-54
2025-01-19 16:17:26.439272,clover1,58/70,-52
2025-01-19 16:17:31.159810,clover1,52/70,-58
2025-01-19 16:17:35.885120,clover1,64/70,-46
2025-01-19 16:17:40.700109,clover1,63/70,-47
2025-01-19 16:17:45.415913,clover1,70/70,-39
2025-01-19 16:17:50.231545,clover1,67/70,-43
2025-01-19 16:17:55.053814,clover1,65/70,-45
2025-01-19 16:17:59.870881,clover1,68/70,-42
2025-01-19 16:18:04.684779,clover1,70/70,-35
2025-01-19 16:18:09.389741,clover1,70/70,-38
2025-01-19 16:18:14.209707,clover1,55/70,-55
2025-01-19 16:18:18.927416,clover1,55/70,-55
2025-01-19 16:18:23.743108,clover1,57/70,-53
2025-01-19 16:18:28.557380,clover1,61/70,-49
2025-01-19 16:18:33.273682,clover1,60/70,-50
2025-01-19 16:18:37.988710,clover1,57/70,-53
2025-01-19 16:18:42.696422,clover1,57/70,-53
