Time,data
1737285472.7272215,1.26
1737285472.7273407,1.258
1737285472.72743,1.257
1737285472.7274773,1.257
1737285472.7275324,1.256
1737285472.7276077,1.256
1737285472.727669,1.255
1737285472.7277055,1.253
1737285472.7279027,1.252
1737285472.7279503,1.253
1737285472.728215,1.253
1737285472.7282743,1.253
1737285472.7283282,1.254
1737285472.7283835,1.256
1737285472.7284234,1.258
1737285472.7284782,1.258
1737285472.7285197,1.261
1737285472.728588,1.264
1737285472.7290552,1.269
1737285472.7290773,1.272
1737285472.7291527,1.276
1737285472.7292352,1.28
1737285472.729325,1.282
1737285472.729378,1.282
1737285472.729461,1.28
1737285472.7296286,1.279
1737285472.7297056,1.278
1737285472.7298095,1.277
1737285472.7299128,1.275
1737285472.7299795,1.273
1737285472.7300215,1.273
1737285472.7300937,1.272
1737285472.7301707,1.271
1737285472.7302415,1.271
1737285472.7303061,1.271
1737285472.730361,1.273
1737285472.7304146,1.275
1737285472.7304566,1.276
1737285472.730517,1.276
1737285472.7305598,1.275
1737285472.7306259,1.275
1737285472.7306623,1.274
1737285472.7307165,1.274
1737285472.730786,1.274
1737285472.7308414,1.275
1737285472.73091,1.277
1737285472.7309825,1.278
1737285472.7310512,1.279
1737285472.7311165,1.28
1737285472.731183,1.279
1737285472.7312489,1.278
1737285472.7313359,1.278
1737285472.7319436,1.277
1737285472.7319925,1.276
1737285472.7320275,1.275
1737285472.7320573,1.276
1737285472.732089,1.273
1737285472.7321155,1.271
1737285472.732144,1.267
1737285472.7321732,1.262
1737285472.732222,1.259
1737285472.7326765,1.257
1737285472.7507117,1.256
1737285472.7507906,1.255
1737285472.7508173,1.255
1737285472.7509108,1.256
1737285472.7509573,1.258
1737285472.7513864,1.26
1737285472.7514124,1.26
1737285472.7514358,1.26
1737285472.7514594,1.258
1737285472.7514827,1.258
1737285472.75152,1.256
1737285472.7515464,1.255
1737285472.7517066,1.25
1737285472.751917,1.248
1737285472.75203,1.251
1737285472.7530634,1.263
1737285472.753193,1.284
1737285472.7577195,1.318
1737285472.762223,1.365
1737285472.7625258,1.423
1737285472.7625947,1.49
1737285472.762637,1.568
1737285472.7626612,1.659
1737285472.762693,1.766
1737285472.7627442,1.886
1737285472.7627623,2.015
1737285472.7627828,2.147
1737285472.7628374,2.278
1737285472.7628586,2.411
1737285472.7628896,2.539
1737285472.7629206,2.66
1737285472.7629733,2.772
1737285472.7630281,2.88
1737285472.7630482,2.98
1737285472.769683,3.071
1737285472.7700303,3.152
1737285472.7701445,3.226
1737285472.7701766,3.29
1737285472.7734473,3.347
1737285472.8371978,3.398
1737285472.940084,3.443
1737285473.0370452,3.483
1737285473.1371753,3.518
1737285473.2370436,3.548
