Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1737285472.7409317,12809,1737285462,734673152,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7412672,12810,1737285462,834673408,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7428336,12811,1737285462,934672384,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7429752,12812,1737285463,34672640,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.74307,12813,1737285463,134673152,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7431364,12814,1737285463,234673408,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7432113,12815,1737285463,334672384,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7432735,12816,1737285463,434672384,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7433624,12817,1737285463,534672384,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7434509,12818,1737285463,634672640,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7435107,12819,1737285463,734672128,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7435822,12820,1737285463,834672128,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7437592,12821,1737285463,934671360,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7439241,12822,1737285464,34671616,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.744209,12823,1737285464,134671104,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7442353,12824,1737285464,234671360,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.744289,12825,1737285464,334670592,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7452292,12826,1737285464,434670848,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7452831,12827,1737285464,534670080,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7453582,12828,1737285464,634670592,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.745453,12829,1737285464,734671104,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7455041,12830,1737285464,834671616,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7455978,12831,1737285464,934670848,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7456715,12832,1737285465,34671360,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.745755,12833,1737285465,134670848,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7458382,12834,1737285465,234671360,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7459686,12835,1737285465,334670848,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7460349,12836,1737285465,434671616,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7461123,12837,1737285465,534671360,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7462046,12838,1737285465,634671872,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7464738,12839,1737285465,734671360,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7465408,12840,1737285465,834672128,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7465973,12841,1737285465,934671872,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7466874,12842,1737285466,34672640,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7467618,12843,1737285466,134673408,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7468464,12844,1737285466,234674176,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7469935,12845,1737285466,334673664,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7470508,12846,1737285466,434674688,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7471776,12847,1737285466,534674432,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.747257,12848,1737285466,634675456,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.747389,12849,1737285466,734675200,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7475095,12850,1737285466,834675968,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.747576,12851,1737285466,934675968,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.74762,12852,1737285467,34676992,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7477899,12853,1737285467,134677760,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7478244,12854,1737285467,234678784,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7479131,12855,1737285467,334679808,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.747985,12856,1737285467,434680832,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.748099,12857,1737285467,534680832,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7481802,12858,1737285467,634681856,,255,1502,1500,1000,1501,1000,1000,1000,1000
