Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1737285472.744329,12809,1737285462,738782501,,1737285463,359337000,fcu
1737285472.7450986,12810,1737285462,838937687,,1737285463,459328000,fcu
1737285472.7451463,12811,1737285462,938806353,,1737285463,559243000,fcu
1737285472.745236,12812,1737285463,38857390,,1737285463,659315000,fcu
1737285472.745321,12813,1737285463,138859316,,1737285463,759316000,fcu
1737285472.745439,12814,1737285463,239180723,,1737285463,859371000,fcu
1737285472.7454615,12815,1737285463,338946390,,1737285463,959397000,fcu
1737285472.7455719,12816,1737285463,438897927,,1737285464,59337000,fcu
1737285472.745621,12817,1737285463,538119445,,1737285464,159344000,fcu
1737285472.7456949,12818,1737285463,638187297,,1737285464,259354000,fcu
1737285472.7458103,12819,1737285463,738197464,,1737285464,359338000,fcu
1737285472.7458634,12820,1737285463,837920686,,1737285464,459282000,fcu
1737285472.7460206,12821,1737285463,939098353,,1737285464,559296000,fcu
1737285472.7460692,12822,1737285464,38206630,,1737285464,659356000,fcu
1737285472.746178,12823,1737285464,138102519,,1737285464,759369000,fcu
1737285472.746275,12824,1737285464,238026704,,1737285464,859313000,fcu
1737285472.7474425,12825,1737285464,338139056,,1737285464,959354000,fcu
1737285472.7477715,12826,1737285464,437180019,,1737285465,57086000,fcu
1737285472.74793,12827,1737285464,537126223,,1737285465,157049000,fcu
1737285472.7479548,12828,1737285464,638072167,,1737285465,259345000,fcu
1737285472.7480938,12829,1737285464,738082797,,1737285465,359313000,fcu
1737285472.7481449,12830,1737285464,837717630,,1737285465,457100000,fcu
1737285472.7482038,12831,1737285464,938389815,,1737285465,559367000,fcu
1737285472.7483096,12832,1737285465,38219963,,1737285465,659364000,fcu
1737285472.748402,12833,1737285465,137549704,,1737285465,757078000,fcu
1737285472.748528,12834,1737285465,238137407,,1737285465,859272000,fcu
1737285472.7485595,12835,1737285465,338351555,,1737285465,959352000,fcu
1737285472.7487664,12836,1737285465,438162926,,1737285466,59309000,fcu
1737285472.7488198,12837,1737285465,538352185,,1737285466,159353000,fcu
1737285472.7499113,12838,1737285465,638320685,,1737285466,259352000,fcu
1737285472.7578032,12839,1737285465,738351592,,1737285466,359332000,fcu
1737285472.7578735,12840,1737285465,838525389,,1737285466,459360000,fcu
1737285472.7578995,12841,1737285465,938433888,,1737285466,559392000,fcu
1737285472.7579505,12842,1737285466,38248185,,1737285466,659282000,fcu
1737285472.7579823,12843,1737285466,138282981,,1737285466,759356000,fcu
1737285472.7580528,12844,1737285466,238627351,,1737285466,859350000,fcu
1737285472.7591736,12845,1737285466,338335185,,1737285466,959306000,fcu
1737285472.7592173,12846,1737285466,437765610,,1737285467,57099000,fcu
1737285472.7592528,12847,1737285466,538569444,,1737285467,159362000,fcu
1737285472.7593493,12848,1737285466,638382981,,1737285467,259299000,fcu
1737285472.7594109,12849,1737285466,738563666,,1737285467,359352000,fcu
1737285472.767091,12850,1737285466,838685073,,1737285467,459384000,fcu
1737285472.767124,12851,1737285466,938396740,,1737285467,559305000,fcu
1737285472.7672086,12852,1737285467,38414258,,1737285467,659312000,fcu
1737285472.7672412,12853,1737285467,138613184,,1737285467,759353000,fcu
1737285472.7674184,12854,1737285467,238439184,,1737285467,859315000,fcu
1737285472.7677374,12855,1737285467,338489628,,1737285467,959363000,fcu
1737285472.7683444,12856,1737285467,438471813,,1737285468,59309000,fcu
1737285472.768561,12857,1737285467,538477128,,1737285468,159370000,fcu
1737285472.768596,12858,1737285467,638480128,,1737285468,259315000,fcu
1737285472.7686265,12859,1737285467,739071332,,1737285468,359393000,fcu
1737285472.7686603,12860,1737285467,838718535,,1737285468,459326000,fcu
1737285472.768754,12861,1737285467,938823332,,1737285468,559362000,fcu
1737285472.7687874,12862,1737285468,38694091,,1737285468,659332000,fcu
1737285472.7688162,12863,1737285468,138541628,,1737285468,759329000,fcu
1737285472.7688746,12864,1737285468,238838813,,1737285468,859349000,fcu
1737285472.7689,12865,1737285468,338612276,,1737285468,959328000,fcu
1737285472.7689636,12866,1737285468,438622646,,1737285469,59368000,fcu
1737285472.7689893,12867,1737285468,538973961,,1737285469,159340000,fcu
1737285472.7690675,12868,1737285468,637341146,,1737285469,257093000,fcu
1737285472.7722614,12869,1737285468,738786813,,1737285469,359304000,fcu
1737285472.7723765,12870,1737285468,839036405,,1737285469,459360000,fcu
1737285472.772736,12871,1737285468,939087405,,1737285469,559357000,fcu
1737285472.7754197,12872,1737285469,38698127,,1737285469,659325000,fcu
1737285472.7755516,12873,1737285469,139037664,,1737285469,759361000,fcu
1737285472.7755768,12874,1737285469,237045886,,1737285469,857099000,fcu
1737285472.775605,12875,1737285469,338757220,,1737285469,959295000,fcu
1737285472.7756286,12876,1737285469,437110257,,1737285470,57073000,fcu
1737285472.7756975,12877,1737285469,539030201,,1737285470,159339000,fcu
1737285472.775737,12878,1737285469,638830034,,1737285470,259326000,fcu
1737285472.7758024,12879,1737285469,739323238,,1737285470,359382000,fcu
1737285472.7758336,12880,1737285469,839209275,,1737285470,459340000,fcu
1737285472.7758667,12881,1737285469,937181719,,1737285470,557094000,fcu
1737285472.7785492,12882,1737285470,39590701,,1737285470,659313000,fcu
