Time,data
1737286240.2857084,16
1737286240.2860448,16
1737286240.2916028,16
1737286240.3940678,16
1737286240.494308,16
1737286240.5898619,16
1737286240.6937504,16
1737286240.79269,16
1737286240.8963768,16
1737286240.9902227,16
1737286241.0978687,16
1737286241.1956503,16
1737286241.297293,16
1737286241.3930595,16
1737286241.4977088,16
1737286241.596172,16
1737286241.6911218,16
1737286241.7934477,16
1737286241.8961508,16
1737286241.9920163,16
1737286242.0941784,16
1737286242.1927447,16
1737286242.2962992,16
1737286242.393434,16
1737286242.497667,16
1737286242.5958931,16
1737286242.7005627,16
1737286242.7929828,16
1737286242.8922675,16
1737286242.9914458,16
1737286243.096005,16
1737286243.1938927,16
1737286243.2918468,16
1737286243.394936,16
1737286243.4960914,16
1737286243.594561,16
1737286243.6964242,16
1737286243.794293,16
1737286243.898561,16
1737286243.992536,16
1737286244.1011097,16
1737286244.1925738,16
1737286244.296672,16
1737286244.3938599,16
1737286244.4929965,16
1737286244.5903902,16
1737286244.6940093,16
1737286244.7911768,16
1737286244.89495,16
1737286244.9909756,16
1737286245.0982122,16
1737286245.1910095,16
1737286245.2952406,16
1737286245.3933654,16
1737286245.5002937,16
1737286245.5940018,16
1737286245.6985176,16
1737286245.7949078,16
1737286245.8988473,15
1737286245.9977722,15
1737286246.110884,15
1737286246.2059557,15
1737286246.3026874,16
1737286246.3994968,16
1737286246.4950469,16
1737286246.5923653,16
1737286246.6901968,16
1737286246.7986434,16
1737286246.905138,16
1737286246.9907532,16
1737286247.107005,16
1737286247.191705,16
1737286247.2931914,16
1737286247.3927886,16
1737286247.49485,16
1737286247.5935314,16
1737286247.690884,16
1737286247.7952106,16
1737286247.8992107,16
1737286247.9931605,16
1737286248.0998049,16
1737286248.1940901,16
1737286248.2969291,16
1737286248.392905,16
1737286248.4942226,16
1737286248.5946693,16
1737286248.6988347,16
1737286248.7947733,16
1737286248.89854,16
1737286248.991967,16
1737286249.0983937,16
1737286249.1968575,16
1737286249.2980618,16
1737286249.392852,16
1737286249.495275,16
1737286249.593783,16
1737286249.6930928,16
1737286249.7949936,16
1737286249.8994176,16
1737286249.9932528,16
1737286250.095567,16
1737286250.1961732,16
1737286250.29855,16
1737286250.3930395,16
1737286250.5024285,16
1737286250.5929193,16
1737286250.6950808,16
1737286250.7938888,16
1737286250.8989978,16
1737286250.9919806,16
1737286251.102472,16
1737286251.192887,16
1737286251.302261,16
1737286251.3944771,16
1737286251.495469,16
1737286251.5955584,16
1737286251.700996,16
1737286251.798388,16
1737286251.9065342,16
1737286252.0012784,16
1737286252.095512,15
1737286252.1894736,15
1737286252.3032444,15
1737286252.3933432,15
1737286252.492274,15
1737286252.590396,15
1737286252.6921492,16
1737286252.791734,16
1737286252.9009666,16
1737286252.9909887,16
1737286253.0988824,16
1737286253.1927578,16
1737286253.2980359,16
1737286253.3930542,16
1737286253.5023994,16
1737286253.591285,16
1737286253.692694,16
1737286253.7939248,16
1737286253.8933692,16
1737286253.9905436,16
1737286254.0990798,16
1737286254.194727,16
1737286254.2981727,16
1737286254.3921974,16
1737286254.5025368,16
1737286254.5935042,16
1737286254.6894689,16
1737286254.791238,16
1737286254.896577,16
1737286254.9924545,16
1737286255.0995514,16
1737286255.1915169,16
1737286255.2956312,16
1737286255.3932016,16
1737286255.4959662,16
1737286255.5907242,16
1737286255.6936169,16
1737286255.793321,16
1737286255.895845,16
1737286255.9947374,16
1737286256.0935824,16
