Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1737286240.285903,20671,1737286240,190193992,base_link,442000.0,-41000.000000000065,-562000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.2896173,20672,1737286240,287748872,base_link,463000.0,-28000.000000000073,-586000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.3913152,20673,1737286240,390354752,base_link,446000.0,-6.159973399711186e-11,-503000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.4915013,20674,1737286240,490420632,base_link,464000.0,-14000.00000000007,-558000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.5867448,20675,1737286240,585582744,base_link,464000.0,-9000.00000000007,-570000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.6944082,20676,1737286240,690399856,base_link,468000.0,-7000.000000000064,-521000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.7914662,20677,1737286240,790345224,base_link,447000.0,-14000.000000000062,-503000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.8949392,20678,1737286240,893313336,base_link,477000.0,-28000.000000000065,-540000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286240.9881542,20679,1737286240,985450960,base_link,460000.0,-13000.000000000067,-545000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286241.093576,20680,1737286241,90516840,base_link,443000.0,-41000.000000000065,-539000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286241.1923633,20681,1737286241,190368208,base_link,448000.0,-34000.00000000007,-565000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286241.293365,20682,1737286241,290497832,base_link,476000.0,-13000.00000000007,-558000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
