Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1737286240.3909557,20672,1737286240,390239752,,1626,1376,1737,1266,0,0,0,0,0,0,0,0,0,0,0,0
1737286240.4908779,20673,1737286240,490320632,,1429,1594,1365,1690,0,0,0,0,0,0,0,0,0,0,0,0
1737286240.5875764,20674,1737286240,585473744,,1458,1578,1483,1599,0,0,0,0,0,0,0,0,0,0,0,0
1737286240.691297,20675,1737286240,688131856,,1538,1494,1643,1346,0,0,0,0,0,0,0,0,0,0,0,0
1737286240.7902744,20676,1737286240,787972224,,1538,1507,1427,1554,0,0,0,0,0,0,0,0,0,0,0,0
1737286240.8920262,20677,1737286240,890673336,,1664,1470,1746,1188,0,0,0,0,0,0,0,0,0,0,0,0
1737286240.987454,20678,1737286240,985349960,,1635,1372,1513,1426,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.0949395,20679,1737286241,90416840,,1655,1336,1542,1408,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.1904328,20680,1737286241,187963208,,1606,1465,1592,1478,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.294609,20681,1737286241,290381832,,1600,1407,1697,1283,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.3919587,20682,1737286241,390282456,,1571,1397,1638,1328,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.4922192,20683,1737286241,490347080,,1610,1342,1603,1377,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.591838,20684,1737286241,589376984,,1496,1545,1349,1660,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.690642,20685,1737286241,686657328,,1703,1413,1644,1244,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.7894833,20686,1737286241,787615440,,1574,1652,1188,1647,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.8886857,20687,1737286241,886680344,,1636,1505,1477,1456,0,0,0,0,0,0,0,0,0,0,0,0
1737286241.989443,20688,1737286241,988444504,,1653,1464,1587,1503,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.0911608,20689,1737286242,89346712,,1513,1548,1234,1815,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.1918025,20690,1737286242,186074872,,1623,1331,1739,1461,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.2937386,20691,1737286242,289584056,,1409,1588,1754,1468,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.3925545,20692,1737286242,388297936,,1673,1339,1685,1506,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.4965959,20693,1737286242,489440120,,1576,1530,1560,1582,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.5952327,20694,1737286242,590902000,,1597,1543,1400,1649,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.694836,20695,1737286242,692625160,,1544,1614,1622,1382,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.789004,20696,1737286242,786842552,,1651,1476,1726,1188,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.888029,20697,1737286242,886404920,,1571,1591,1638,1329,0,0,0,0,0,0,0,0,0,0,0,0
1737286242.9894938,20698,1737286242,987355104,,1616,1526,1649,1418,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.0900428,20699,1737286243,88627680,,1588,1519,1306,1759,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.1892557,20700,1737286243,187390840,,1623,1428,1711,1391,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.2879803,20701,1737286243,286454160,,1609,1465,1782,1188,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.3900633,20702,1737286243,387801320,,1561,1546,1188,1775,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.495616,20703,1737286243,491203664,,1625,1479,1696,1322,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.59072,20704,1737286243,589797800,,1638,1492,1476,1629,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.6937094,20705,1737286243,691138632,,1580,1585,1188,1800,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.7893116,20706,1737286243,787344792,,1563,1521,1525,1530,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.8900778,20707,1737286243,888887112,,1516,1579,1699,1245,0,0,0,0,0,0,0,0,0,0,0,0
1737286243.989539,20708,1737286243,987715152,,1644,1521,1759,1188,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.0881326,20709,1737286244,86336336,,1667,1408,1188,1689,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.190168,20710,1737286244,188405336,,1517,1607,1188,1716,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.2938814,20711,1737286244,291971352,,1554,1596,1415,1656,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.3922338,20712,1737286244,390504352,,1652,1449,1492,1607,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.487853,20713,1737286244,486803352,,1505,1597,1717,1359,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.5880625,20714,1737286244,586337344,,1517,1581,1433,1658,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.6889489,20715,1737286244,687312432,,1525,1623,1188,1792,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.7888718,20716,1737286244,786727680,,1587,1554,1593,1520,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.8899002,20717,1737286244,888538584,,1589,1552,1210,1766,0,0,0,0,0,0,0,0,0,0,0,0
1737286244.9892745,20718,1737286244,987273584,,1649,1470,1768,1188,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.0952253,20719,1737286245,93293304,,1673,1431,1670,1360,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.1891367,20720,1737286245,187215208,,1646,1523,1188,1773,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.2929556,20721,1737286245,291496624,,1576,1571,1480,1591,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.3912423,20722,1737286245,389559784,,1550,1608,1188,1774,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.4901147,20723,1737286245,488546456,,1735,1314,1741,1224,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.5889707,20724,1737286245,587440824,,1497,1634,1372,1690,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.69015,20725,1737286245,688541424,,1572,1575,1188,1782,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.7924833,20726,1737286245,790546328,,1548,1571,1499,1592,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.893751,20727,1737286245,891636952,,1605,1509,1714,1298,0,0,0,0,0,0,0,0,0,0,0,0
1737286245.9975142,20728,1737286245,988949344,,1544,1594,1382,1697,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.09168,20729,1737286246,89488712,,1634,1491,1778,1188,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.1986418,20730,1737286246,196718640,,1580,1583,1188,1791,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.2941947,20731,1737286246,292704704,,1577,1554,1402,1656,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.390195,20732,1737286246,389442048,,1531,1608,1280,1719,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.491231,20733,1737286246,490212720,,1712,1400,1686,1371,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.5881774,20734,1737286246,586593296,,1652,1500,1694,1388,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.687167,20735,1737286246,686362408,,1497,1671,1447,1676,0,0,0,0,0,0,0,0,0,0,0,0
1737286246.7895825,20736,1737286246,788237264,,1682,1470,1578,1562,0,0,0,0,0,0,0,0,0,0,0,0
