Time,data
1737286264.300333,185.67
1737286264.3036256,185.67
1737286264.3037608,185.75
1737286264.303915,185.81
1737286264.3040338,185.85
1737286264.3042526,185.58
1737286264.3044734,185.35
1737286264.3046594,185.05
1737286264.3048253,184.84
1737286264.3049994,184.95
1737286264.305318,186.7
1737286264.3063257,190.33
1737286264.3065953,195.74
1737286264.306834,202.42
1737286264.3071887,209.9
1737286264.3075557,217.81
1737286264.307802,226.11
1737286264.307959,234.19
1737286264.3081884,242.11
1737286264.308785,249.46
1737286264.309005,256.36
1737286264.3094296,262.82
1737286264.3097749,268.78
1737286264.3101535,274.53
1737286264.3103855,279.99
1737286264.3105707,285.52
1737286264.3108525,291.06
1737286264.3110802,296.72
1737286264.311532,302.6
1737286264.3118372,308.52
1737286264.312047,314.64
1737286264.3123853,320.84
1737286264.312585,327.27
1737286264.3129027,333.7
1737286264.3130422,340.15
1737286264.3132071,346.53
1737286264.3133183,352.87
1737286264.3134942,359.02
1737286264.3139844,4.96
1737286264.314244,10.24
1737286264.314541,14.14
1737286264.314782,16.39
1737286264.3149881,17.16
1737286264.3152778,16.81
1737286264.3156435,15.67
1737286264.3160305,14.13
1737286264.3175888,12.29
1737286264.318446,10.17
1737286264.3185751,8.19
1737286264.3187895,6.52
1737286264.3192406,4.98
1737286264.3280866,3.8
1737286264.3282006,3.14
1737286264.3299456,2.9
1737286264.3300176,2.95
1737286264.3328645,3.26
1737286264.3344872,3.34
1737286264.3350413,3.6
1737286264.3351738,3.86
1737286264.3388965,4.14
1737286264.3389862,4.28
1737286264.3390312,4.34
1737286264.33919,4.4
1737286264.3394005,4.72
1737286264.3394387,4.99
1737286264.339908,5.05
1737286264.3399415,4.97
1737286264.3399668,4.85
1737286264.339989,4.75
1737286264.3411534,4.88
1737286264.3411868,5.29
1737286264.342749,5.59
1737286264.3429074,5.95
1737286264.3431387,6.41
1737286264.3431711,6.38
1737286264.3432128,6.42
1737286264.3433104,6.47
1737286264.3455427,6.09
1737286264.3455951,5.84
1737286264.3458781,5.49
1737286264.347529,5.14
1737286264.3479745,4.8
1737286264.3493116,4.74
1737286264.351106,4.92
1737286264.351176,5.23
1737286264.351189,5.37
1737286264.3512182,5.63
1737286264.3512306,5.96
1737286264.3512456,6.39
1737286264.351258,6.67
1737286264.351271,6.72
1737286264.3513422,7.48
1737286264.35137,9.73
1737286264.351423,13.42
1737286264.351438,17.48
1737286264.3514693,21.25
1737286264.3514812,24.28
1737286264.351562,26.65
1737286264.3516107,27.53
1737286264.3516395,27.72
1737286264.3529139,26.76
1737286264.4438422,25.66
1737286264.5459337,24.36
1737286264.643728,23.11
1737286264.7434459,22.08
1737286264.8430138,21.26
1737286264.9427907,20.68
1737286265.04489,20.32
1737286265.146058,20.2
1737286265.248859,20.19
1737286265.3457341,20.38
1737286265.444604,20.59
1737286265.5436957,21.13
1737286265.6461484,21.48
1737286265.7438996,21.81
1737286265.8440733,22.12
1737286265.9438703,22.25
1737286266.0456295,22.25
1737286266.1447246,22.12
1737286266.2438185,21.81
1737286266.3440766,21.29
1737286266.4446926,20.62
1737286266.5446358,19.67
1737286266.6436007,23.31
1737286266.7442348,19.51
1737286266.845976,14.9
1737286266.9428332,11.94
1737286267.0446339,10.06
1737286267.1880825,8.27
1737286267.2451038,5.97
1737286267.3430648,2.32
1737286267.4444995,357.49
1737286267.5431836,353.37
1737286267.64459,348.86
1737286267.7455087,343.03
1737286267.8449626,335.94
1737286267.948262,327.97
1737286268.045666,320.57
1737286268.1439905,312.49
1737286268.2433584,304.52
1737286268.3446615,298.43
1737286268.4513106,293.58
1737286268.543602,288.31
1737286268.6437566,282.43
1737286268.7441158,276.28
1737286268.8446522,270.38
1737286268.9439154,265.26
1737286269.0436275,261.09
1737286269.1439793,257.61
1737286269.2439008,254.88
1737286269.3443487,252.7
1737286269.4438083,250.9
1737286269.5445137,249.33
1737286269.644405,248.06
1737286269.7439578,246.98
1737286269.8434591,246.0
1737286269.943526,244.59
1737286270.0443034,243.19
1737286270.1454546,241.59
1737286270.243555,239.49
1737286270.3437958,237.35
1737286270.4441571,234.83
1737286270.5438857,231.68
1737286270.6438897,228.35
1737286270.7440746,224.71
1737286270.84367,221.72
1737286270.9467406,219.65
1737286271.0477319,218.6
1737286271.144846,218.41
1737286271.2465549,218.83
1737286271.3464193,219.62
1737286271.4441123,220.66
1737286271.544774,221.78
1737286271.6446412,222.9
1737286271.7475052,223.95
1737286271.8455067,224.54
1737286271.9491127,224.95
1737286272.0441177,225.34
1737286272.1442218,225.14
1737286272.2446043,224.95
1737286272.3453822,224.67
1737286272.44562,224.04
1737286272.5440638,223.3
1737286272.6455884,222.79
1737286272.7459757,222.31
1737286272.8456848,221.93
1737286272.9457698,221.73
1737286273.0453866,221.71
1737286273.1439757,221.86
1737286273.2437701,222.02
1737286273.3445802,222.22
1737286273.4447076,222.45
1737286273.5443048,222.64
1737286273.64481,222.85
1737286273.7441978,222.88
1737286273.8430157,222.96
1737286273.9452398,223.11
1737286274.0436342,223.32
1737286274.1443496,223.56
1737286274.2432191,223.7
1737286274.3441498,223.84
1737286274.4432328,223.7
1737286274.5431826,223.66
1737286274.643411,223.72
1737286274.7431364,223.63
1737286274.8445358,223.35
1737286274.9433618,223.31
1737286275.0433204,223.32
1737286275.1434581,223.29
1737286275.2434165,223.24
1737286275.3438504,223.11
1737286275.4447513,223.06
1737286275.543379,223.03
1737286275.643755,223.17
1737286275.743763,223.31
1737286275.8431654,223.43
1737286275.9442813,223.39
1737286276.0434813,223.39
1737286276.1461883,223.26
1737286276.2435317,223.23
1737286276.3451488,223.28
1737286276.44809,223.11
1737286276.5446413,222.87
1737286276.6442714,222.65
1737286276.7451656,222.54
1737286276.8444605,222.52
1737286276.9478474,222.51
1737286277.045372,222.58
1737286277.1440268,222.69
1737286277.2454333,222.77
1737286277.3460317,222.76
1737286277.447443,222.77
1737286277.54535,222.86
1737286277.6438322,222.88
1737286277.7440147,222.85
1737286277.84423,222.7
1737286277.9438612,222.63
1737286278.047646,222.56
1737286278.1445522,222.53
1737286278.2440872,222.59
1737286278.3441312,222.7
1737286278.4436855,222.94
1737286278.5446994,223.06
1737286278.6438246,223.13
1737286278.7445114,223.23
1737286278.8449385,223.37
1737286278.943854,223.56
1737286279.0445817,223.57
1737286279.1441777,223.35
1737286279.243905,223.39
1737286279.3439867,223.38
1737286279.4439433,223.36
1737286279.5453782,223.15
1737286279.64377,222.99
1737286279.7440004,222.88
1737286279.8440073,222.87
1737286279.9446535,222.74
1737286280.0439694,222.56
1737286280.1475692,222.48
1737286280.2453651,222.45
1737286280.3464067,222.61
1737286280.4441292,222.77
1737286280.5472565,222.86
1737286280.6446128,223.0
1737286280.7444286,222.95
1737286280.8463178,222.97
1737286280.9459496,223.14
1737286281.0451458,223.14
