Time,data
1737286264.2994163,17
1737286264.299511,17
1737286264.2995868,17
1737286264.2996995,17
1737286264.3006384,17
1737286264.3006897,17
1737286264.3007154,17
1737286264.300751,17
1737286264.3008342,17
1737286264.3009043,17
1737286264.3009717,17
1737286264.3010159,17
1737286264.301133,17
1737286264.3012025,17
1737286264.3012815,17
1737286264.3013725,17
1737286264.3034039,17
1737286264.3034728,17
1737286264.3037038,17
1737286264.3038464,17
1737286264.303895,17
1737286264.3041768,17
1737286264.3042762,17
1737286264.3044243,17
1737286264.3046858,17
1737286264.304884,17
1737286264.3052006,17
1737286264.3054216,17
1737286264.3057232,17
1737286264.3059983,17
1737286264.306349,17
1737286264.306678,17
1737286264.3068578,17
1737286264.3078866,17
1737286264.3079982,17
1737286264.30841,17
1737286264.3114076,17
1737286264.3115783,17
1737286264.311954,17
1737286264.3121884,17
1737286264.3124814,17
1737286264.312749,17
1737286264.3129709,17
1737286264.3131413,17
1737286264.3132236,17
1737286264.3133407,17
1737286264.3135164,17
1737286264.3138874,17
1737286264.314045,17
1737286264.3143122,17
1737286264.3145823,17
1737286264.3161578,17
1737286264.3181489,17
1737286264.3279483,17
1737286264.3280432,17
1737286264.3281102,17
1737286264.3283138,17
1737286264.3301666,17
1737286264.330185,17
1737286264.3305511,17
1737286264.3305955,17
1737286264.330699,17
1737286264.3307784,17
1737286264.3308718,17
1737286264.3309593,17
1737286264.3310273,17
1737286264.331174,17
1737286264.3336837,17
1737286264.333725,17
1737286264.3339205,17
1737286264.334399,17
1737286264.3345094,17
1737286264.335059,17
1737286264.3351133,17
1737286264.3351462,17
1737286264.3389611,17
1737286264.3390055,17
1737286264.3390498,17
1737286264.3427658,17
1737286264.3432603,17
1737286264.3432999,17
1737286264.3457174,17
1737286264.3457348,17
1737286264.345752,17
1737286264.345778,17
1737286264.345798,17
1737286264.3458138,17
1737286264.345837,17
1737286264.3477037,17
1737286264.347787,17
1737286264.347806,17
1737286264.3478436,17
1737286264.3478725,17
1737286264.3479009,17
1737286264.3479588,17
1737286264.3480155,17
1737286264.3480346,17
1737286264.3494759,17
1737286264.3516912,17
1737286264.3517225,17
1737286264.353692,17
1737286264.4460235,17
1737286264.5477107,17
1737286264.6460938,17
1737286264.7482653,17
1737286264.845414,17
1737286264.947059,17
1737286265.046733,17
1737286265.146875,17
1737286265.2507586,17
1737286265.3497539,17
1737286265.450074,17
1737286265.5482364,17
1737286265.6484332,17
1737286265.7504802,17
1737286265.8488503,17
1737286265.9487402,17
1737286266.0485737,17
1737286266.1498134,17
1737286266.2478008,17
1737286266.347346,17
1737286266.4477732,17
