Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,dgps_numch,dgps_age
1737286264.3008068,20725,1737286254,247182976,/wgs84,4,336371080,729912747,548410,66,95,3,22057,17,507812,672,1012,199,0,255,4294967295
1737286264.30088,20726,1737286254,247184768,/wgs84,4,336371080,729912747,548410,66,95,3,22057,17,507812,672,1012,199,0,255,4294967295
1737286264.3009496,20727,1737286254,447187840,/wgs84,4,336371081,729912747,548410,66,95,5,22057,17,507812,673,1012,164,0,255,4294967295
1737286264.3009949,20728,1737286254,447189888,/wgs84,4,336371081,729912747,548410,66,95,5,22057,17,507812,673,1012,164,0,255,4294967295
1737286264.3010597,20729,1737286254,647191680,/wgs84,4,336371081,729912748,548440,66,95,4,22057,17,507842,673,1012,210,0,255,4294967295
1737286264.3011792,20730,1737286254,647193728,/wgs84,4,336371081,729912748,548440,66,95,4,22057,17,507842,673,1012,210,0,255,4294967295
1737286264.3012552,20731,1737286254,847197056,/wgs84,4,336371082,729912749,548480,66,95,14,22057,17,507882,674,1011,186,0,255,4294967295
1737286264.3013492,20732,1737286254,847198848,/wgs84,4,336371082,729912749,548480,66,95,14,22057,17,507882,674,1011,186,0,255,4294967295
1737286264.3014073,20733,1737286255,47197312,/wgs84,4,336371084,729912748,548500,66,95,13,22057,17,507902,674,1011,170,0,255,4294967295
1737286264.3015769,20734,1737286255,47199360,/wgs84,4,336371084,729912748,548500,66,95,13,22057,17,507902,674,1011,170,0,255,4294967295
1737286264.3016596,20735,1737286255,247202432,/wgs84,4,336371087,729912747,548520,66,95,23,27657,17,507922,674,1011,162,0,255,4294967295
1737286264.301703,20736,1737286255,247204480,/wgs84,4,336371087,729912747,548520,66,95,23,27657,17,507922,674,1011,162,0,255,4294967295
1737286264.3017795,20737,1737286255,447206272,/wgs84,4,336371091,729912747,548550,66,95,18,27657,17,507952,674,1010,166,0,255,4294967295
1737286264.3018582,20738,1737286255,447208576,/wgs84,4,336371091,729912747,548550,66,95,18,27657,17,507952,674,1010,166,0,255,4294967295
1737286264.301936,20739,1737286255,647210624,/wgs84,4,336371095,729912746,548570,66,95,33,32651,17,507972,674,1010,176,0,255,4294967295
1737286264.3019779,20740,1737286255,647212672,/wgs84,4,336371095,729912746,548570,66,95,33,32651,17,507972,674,1010,176,0,255,4294967295
1737286264.302104,20741,1737286255,847216000,/wgs84,4,336371101,729912745,548580,66,95,39,34322,17,507982,675,1010,179,0,255,4294967295
1737286264.3034337,20742,1737286255,847218304,/wgs84,4,336371101,729912745,548580,66,95,39,34322,17,507982,675,1010,179,0,255,4294967295
1737286264.3035164,20743,1737286256,47221888,/wgs84,4,336371110,729912744,548590,66,95,58,35216,17,507992,675,1010,183,0,255,4294967295
1737286264.3037326,20744,1737286256,47223936,/wgs84,4,336371110,729912744,548590,66,95,58,35216,17,507992,675,1010,183,0,255,4294967295
1737286264.3038843,20745,1737286256,247225984,/wgs84,4,336371120,729912743,548580,66,95,62,35660,17,507982,675,1011,192,0,255,4294967295
1737286264.3039641,20746,1737286256,247228288,/wgs84,4,336371120,729912743,548580,66,95,62,35660,17,507982,675,1011,192,0,255,4294967295
1737286264.3041863,20747,1737286256,447231872,/wgs84,4,336371131,729912743,548590,66,95,60,35753,17,507992,675,1011,197,0,255,4294967295
1737286264.3043172,20748,1737286256,447234176,/wgs84,4,336371131,729912743,548590,66,95,60,35753,17,507992,675,1011,197,0,255,4294967295
1737286264.3047426,20749,1737286256,647236480,/wgs84,4,336371142,729912743,548590,66,95,66,98,17,507992,676,1011,197,0,255,4294967295
1737286264.305115,20750,1737286256,647238784,/wgs84,4,336371142,729912743,548590,66,95,66,98,17,507992,676,1011,197,0,255,4294967295
1737286264.3079145,20751,1737286256,847240832,/wgs84,4,336371154,729912744,548580,66,95,66,175,17,507982,676,1011,205,0,255,4294967295
1737286264.3080258,20752,1737286256,847243136,/wgs84,4,336371154,729912744,548580,66,95,66,175,17,507982,676,1011,205,0,255,4294967295
1737286264.3085084,20753,1737286257,47245952,/wgs84,4,336371165,729912744,548550,66,95,55,159,17,507952,677,1010,204,0,255,4294967295
1737286264.3114321,20754,1737286257,47248256,/wgs84,4,336371165,729912744,548550,66,95,55,159,17,507952,677,1010,204,0,255,4294967295
1737286264.3116338,20755,1737286257,247250816,/wgs84,4,336371174,729912745,548570,66,95,45,693,17,507972,677,1010,172,0,255,4294967295
1737286264.3127754,20756,1737286257,247253376,/wgs84,4,336371174,729912745,548570,66,95,45,693,17,507972,677,1010,172,0,255,4294967295
1737286264.31302,20757,1737286257,447255680,/wgs84,4,336371183,729912747,548570,66,95,62,602,17,507972,676,1010,166,0,255,4294967295
1737286264.3131857,20758,1737286257,447258496,/wgs84,4,336371183,729912747,548570,66,95,62,602,17,507972,676,1010,166,0,255,4294967295
1737286264.3132741,20759,1737286257,647260800,/wgs84,4,336371193,729912749,548600,66,95,55,856,17,508002,676,1010,179,0,255,4294967295
1737286264.313451,20760,1737286257,647263104,/wgs84,4,336371193,729912749,548600,66,95,55,856,17,508002,676,1010,179,0,255,4294967295
1737286264.313527,20761,1737286257,847264896,/wgs84,4,336371203,729912751,548620,66,95,61,1201,17,508022,677,1010,173,0,255,4294967295
1737286264.3139386,20762,1737286257,847267456,/wgs84,4,336371203,729912751,548620,66,95,61,1201,17,508022,677,1010,173,0,255,4294967295
