Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1737286264.303062,20726,1737286254,341618976,base_link,-360000.0,3999.9999999999613,-316000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3033204,20727,1737286254,443558768,base_link,-364000.0,-4.212784989066895e-11,-344000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3033571,20728,1737286254,541568840,base_link,-355000.0,5999.999999999961,-319000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3035204,20729,1737286254,641590888,base_link,-356000.0,2999.999999999959,-333000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3048608,20730,1737286254,741568680,base_link,-361000.0,2999.999999999961,-319000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3051221,20731,1737286254,841581728,base_link,-363000.0,-3.771912141373848e-11,-308000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.305373,20732,1737286254,941583056,base_link,-369000.0,13999.999999999958,-339000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3057787,20733,1737286255,41606848,base_link,-375000.0,14999.999999999958,-343000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3060596,20734,1737286255,141606312,base_link,-375000.0,10999.999999999958,-348000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3063872,20735,1737286255,241623360,base_link,-375000.0,-4.200538521075422e-11,-343000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.30661,20736,1737286255,341688432,base_link,-381000.0,999.9999999999573,-349000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.306912,20737,1737286255,441581480,base_link,-366000.0,-2000.0000000000416,-340000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3071947,20738,1737286255,541620272,base_link,-368000.0,-18000.00000000004,-326000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.307584,20739,1737286255,641602576,base_link,-363000.0,-53000.000000000044,-349000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.307828,20740,1737286255,741613624,base_link,-354000.0,-93000.00000000004,-352000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3080516,20741,1737286255,841615672,base_link,-347000.0,-130000.00000000004,-342000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3086424,20742,1737286255,941615000,base_link,-321000.0,-156000.00000000003,-337000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3088567,20743,1737286256,43618304,base_link,-299000.0,-198000.00000000003,-339000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3092322,20744,1737286256,141697888,base_link,-269000.0,-229000.00000000003,-337000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3094864,20745,1737286256,241633936,base_link,-235000.0,-255000.00000000006,-360999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.309833,20746,1737286256,341586984,base_link,-190000.0,-267000.00000000006,-361999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.310218,20747,1737286256,441642288,base_link,-155000.0,-279000.00000000006,-331999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3104503,20748,1737286256,541634872,base_link,-121000.0,-270000.00000000006,-331999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3106866,20749,1737286256,641621176,base_link,-91000.0,-267000.00000000006,-330999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3109114,20750,1737286256,743624480,base_link,-62000.0,-265000.00000000006,-360999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.3116686,20751,1737286256,841667784,base_link,-34000.0,-258000.00000000006,-357999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737286264.31186,20752,1737286256,941628832,base_link,-11000.0,-263000.00000000006,-387999.99999999994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
