Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fluid_pressure,variance
1737286264.3033836,20725,1737286254,343182976,base_link,95621.0693359375,0.0
1737286264.3035867,20726,1737286254,443184768,base_link,95621.71020507812,0.0
1737286264.3036702,20727,1737286254,541187840,base_link,95619.97680664062,0.0
1737286264.3038106,20728,1737286254,643189888,base_link,95620.52001953125,0.0
1737286264.3039613,20729,1737286254,741191680,base_link,95619.78149414062,0.0
1737286264.3041072,20730,1737286254,841193728,base_link,95619.58618164062,0.0
1737286264.3053973,20731,1737286254,941197056,base_link,95618.41430664062,0.0
1737286264.3058062,20732,1737286255,43198848,base_link,95619.65942382812,0.0
1737286264.3060887,20733,1737286255,143197312,base_link,95620.08666992188,0.0
1737286264.3066418,20734,1737286255,243199360,base_link,95621.08154296875,0.0
1737286264.3069394,20735,1737286255,341202432,base_link,95618.52416992188,0.0
1737286264.3072212,20736,1737286255,441204480,base_link,95621.6064453125,0.0
1737286264.3076108,20737,1737286255,543206272,base_link,95620.62377929688,0.0
1737286264.307852,20738,1737286255,641208576,base_link,95616.30859375,0.0
1737286264.3080745,20739,1737286255,743210624,base_link,95617.98095703125,0.0
1737286264.3086557,20740,1737286255,843212672,base_link,95620.94116210938,0.0
1737286264.3088956,20741,1737286255,941216000,base_link,95619.95849609375,0.0
1737286264.3092847,20742,1737286256,43218304,base_link,95619.76318359375,0.0
1737286264.3095329,20743,1737286256,141221888,base_link,95620.52612304688,0.0
1737286264.3098793,20744,1737286256,243223936,base_link,95619.95849609375,0.0
1737286264.310242,20745,1737286256,343225984,base_link,95618.39599609375,0.0
1737286264.311922,20746,1737286256,441228288,base_link,95619.54956054688,0.0
1737286264.3129973,20747,1737286256,543231872,base_link,95619.35424804688,0.0
1737286264.313071,20748,1737286256,641234176,base_link,95618.7255859375,0.0
1737286264.3132575,20749,1737286256,743236480,base_link,95620.07446289062,0.0
1737286264.3133974,20750,1737286256,843238784,base_link,95617.4560546875,0.0
1737286264.3135674,20751,1737286256,943240832,base_link,95616.80297851562,0.0
1737286264.3138297,20752,1737286257,43243136,base_link,95619.79370117188,0.0
1737286264.3145192,20753,1737286257,141245952,base_link,95619.1162109375,0.0
1737286264.3146122,20754,1737286257,243248256,base_link,95617.67578125,0.0
1737286264.314825,20755,1737286257,341250816,base_link,95617.6513671875,0.0
1737286264.3153262,20756,1737286257,443253376,base_link,95621.0205078125,0.0
1737286264.3157237,20757,1737286257,543255680,base_link,95618.23120117188,0.0
1737286264.3165727,20758,1737286257,643258496,base_link,95617.27294921875,0.0
1737286264.3169868,20759,1737286257,741260800,base_link,95619.287109375,0.0
1737286264.3174093,20760,1737286257,843263104,base_link,95619.51293945312,0.0
1737286264.3176734,20761,1737286257,941264896,base_link,95617.24243164062,0.0
1737286264.3179915,20762,1737286258,43267456,base_link,95617.51098632812,0.0
1737286264.3181462,20763,1737286258,143269504,base_link,95618.76831054688,0.0
1737286264.3182893,20764,1737286258,243271808,base_link,95618.1396484375,0.0
1737286264.318549,20765,1737286258,343273856,base_link,95618.54248046875,0.0
1737286264.3186321,20766,1737286258,443276416,base_link,95619.3115234375,0.0
1737286264.3189268,20767,1737286258,543278464,base_link,95619.37866210938,0.0
1737286264.3193946,20768,1737286258,641281024,base_link,95619.73876953125,0.0
1737286264.3196242,20769,1737286258,743283328,base_link,95617.38891601562,0.0
1737286264.3196719,20770,1737286258,843286144,base_link,95618.42651367188,0.0
1737286264.3198476,20771,1737286258,941288192,base_link,95618.89038085938,0.0
1737286264.320006,20772,1737286259,41290496,base_link,95618.79272460938,0.0
1737286264.3205407,20773,1737286259,141293056,base_link,95619.44580078125,0.0
1737286264.320973,20774,1737286259,243295872,base_link,95618.3349609375,0.0
1737286264.3210855,20775,1737286259,343298432,base_link,95617.58422851562,0.0
