Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1737286264.3142939,20725,1737286254,341570976,,1470,1435,1518,1785,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3146574,20726,1737286254,441585768,,1339,1546,1665,1662,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3148248,20727,1737286254,541538840,,1395,1502,1780,1526,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3150494,20728,1737286254,641559888,,1397,1493,1646,1677,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.315392,20729,1737286254,741508680,,1526,1359,1438,1832,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.31578,20730,1737286254,841548728,,1391,1497,1566,1737,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3166914,20731,1737286254,941553056,,1335,1537,1669,1637,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3171284,20732,1737286255,41559848,,1529,1350,1495,1783,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3174942,20733,1737286255,141576312,,1390,1516,1568,1706,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3176706,20734,1737286255,241550360,,1384,1592,1673,1529,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3180082,20735,1737286255,341657432,,1605,1466,1490,1630,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3181403,20736,1737286255,441551480,,1476,1606,1613,1475,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3183336,20737,1737286255,541587272,,1685,1334,1391,1686,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3184783,20738,1737286255,641558576,,1516,1514,1538,1596,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3186166,20739,1737286255,741582624,,1394,1616,1651,1537,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3188746,20740,1737286255,841585672,,1349,1632,1681,1546,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3194644,20741,1737286255,941584000,,1403,1555,1663,1586,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3195722,20742,1737286256,41663304,,1447,1498,1666,1592,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3197255,20743,1737286256,141643888,,1364,1539,1681,1595,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3198607,20744,1737286256,241602936,,1489,1404,1517,1754,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3201098,20745,1737286256,341523984,,1273,1563,1641,1649,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3201754,20746,1737286256,441612288,,1413,1461,1724,1555,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3202903,20747,1737286256,541602872,,1407,1468,1602,1673,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.320509,20748,1737286256,641590176,,1410,1482,1517,1740,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3210378,20749,1737286256,741547480,,1341,1554,1775,1468,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3211663,20750,1737286256,841606784,,1462,1472,1514,1741,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3213549,20751,1737286256,941598832,,1453,1492,1649,1623,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.321586,20752,1737286257,41648136,,1390,1552,1650,1627,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3226163,20753,1737286257,141618952,,1400,1541,1679,1592,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.322752,20754,1737286257,241605256,,1480,1480,1563,1711,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3232496,20755,1737286257,341590816,,1493,1475,1586,1700,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3233085,20756,1737286257,441636376,,1478,1486,1563,1722,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3235183,20757,1737286257,541620680,,1318,1592,1772,1494,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3236072,20758,1737286257,641635496,,1562,1348,1518,1760,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3237677,20759,1737286257,741642800,,1389,1526,1731,1566,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3238878,20760,1737286257,841608104,,1323,1567,1702,1603,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3240218,20761,1737286257,941619896,,1521,1390,1498,1789,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3242183,20762,1737286258,41571456,,1398,1519,1747,1569,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3242772,20763,1737286258,141689504,,1334,1544,1782,1541,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3245387,20764,1737286258,241563808,,1456,1334,1588,1782,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3246033,20765,1737286258,341571856,,1355,1369,1657,1758,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3248513,20766,1737286258,441589416,,1310,1393,1624,1798,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.324983,20767,1737286258,541582464,,1254,1456,1803,1612,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3250673,20768,1737286258,641646024,,1259,1486,1773,1635,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3252091,20769,1737286258,741643328,,1386,1425,1555,1821,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3252554,20770,1737286258,841692144,,1424,1418,1664,1715,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3254638,20771,1737286258,941575192,,1386,1477,1577,1771,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3256075,20772,1737286259,41589496,,1382,1493,1553,1766,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3260753,20773,1737286259,141585056,,1403,1491,1581,1724,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3261673,20774,1737286259,241632872,,1382,1517,1622,1677,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3262925,20775,1737286259,341637432,,1519,1397,1487,1768,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3268726,20776,1737286259,441596992,,1449,1476,1712,1544,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3268988,20777,1737286259,541710040,,1502,1417,1475,1758,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3269222,20778,1737286259,641683856,,1514,1400,1590,1670,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3269515,20779,1737286259,741626416,,1359,1527,1716,1531,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3269784,20780,1737286259,841682976,,1439,1452,1625,1634,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.336348,20781,1737286259,941579792,,1347,1525,1728,1525,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3363764,20782,1737286260,41686608,,1411,1482,1679,1597,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3364127,20783,1737286260,141664424,,1480,1409,1478,1772,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3364422,20784,1737286260,241718240,,1396,1488,1761,1497,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.336777,20785,1737286260,341668056,,1430,1459,1613,1668,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3371527,20786,1737286260,441710872,,1519,1357,1455,1792,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3375773,20787,1737286260,541629688,,1371,1506,1727,1550,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3376517,20788,1737286260,643785504,,1408,1479,1756,1521,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3376803,20789,1737286260,741701320,,1300,1558,1699,1595,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3377092,20790,1737286260,841631392,,1416,1463,1494,1775,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3377514,20791,1737286260,941631208,,1382,1493,1632,1660,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3378067,20792,1737286261,41716024,,1475,1398,1708,1571,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3378317,20793,1737286261,141700096,,1465,1411,1419,1815,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3378792,20794,1737286261,241724632,,1369,1505,1617,1676,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3379042,20795,1737286261,341654912,,1524,1347,1473,1792,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.337934,20796,1737286261,441721704,,1459,1424,1474,1802,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3381033,20797,1737286261,541740728,,1429,1445,1498,1792,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3420491,20798,1737286261,641720008,,1393,1476,1563,1751,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3421073,20799,1737286261,741732288,,1481,1391,1586,1737,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3421333,20800,1737286261,841673824,,1400,1473,1616,1707,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.342147,20801,1737286261,941719640,,1397,1482,1503,1796,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3421662,20802,1737286262,41728176,,1407,1484,1655,1676,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3450391,20803,1737286262,141729736,,1300,1566,1740,1576,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3450592,20804,1737286262,241741016,,1255,1595,1817,1459,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.345103,20805,1737286262,341768832,,1415,1487,1588,1722,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3451204,20806,1737286262,441768368,,1236,1613,1848,1405,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3451395,20807,1737286262,541666928,,1399,1518,1723,1595,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3468688,20808,1737286262,641758464,,1517,1398,1548,1763,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3469,20809,1737286262,741739024,,1369,1534,1628,1706,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3469386,20810,1737286262,841728560,,1312,1574,1823,1484,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.346969,20811,1737286262,941761584,,1430,1480,1722,1623,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3490248,20812,1737286263,41758584,,1425,1479,1563,1774,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3490725,20813,1737286263,141702656,,1393,1494,1625,1722,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3490984,20814,1737286263,241718448,,1387,1510,1737,1613,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3507426,20815,1737286263,341775984,,1390,1575,1767,1532,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3507774,20816,1737286263,441737776,,1471,1556,1608,1674,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.350796,20817,1737286263,541731568,,1550,1536,1545,1696,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3508182,20818,1737286263,641729104,,1579,1454,1541,1752,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3508484,20819,1737286263,741708640,,1485,1483,1613,1748,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3508675,20820,1737286263,841684432,,1440,1473,1621,1790,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3508825,20821,1737286263,941697224,,1315,1538,1851,1588,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.350899,20822,1737286264,41751016,,1428,1420,1785,1688,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3509164,20823,1737286264,141699808,,1406,1434,1809,1661,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.3509321,20824,1737286264,241812600,,1443,1425,1652,1814,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.353394,20825,1737286264,341699392,,1439,1450,1637,1809,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.4451325,20826,1737286264,441757184,,1371,1518,1674,1769,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.5459485,20827,1737286264,541750720,,1430,1480,1588,1818,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.6465638,20828,1737286264,641697512,,1251,1607,1749,1640,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.7465804,20829,1737286264,741788304,,1431,1489,1627,1739,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.8437517,20830,1737286264,841778352,,1372,1537,1655,1694,0,0,0,0,0,0,0,0,0,0,0,0
1737286264.944576,20831,1737286264,941748424,,1399,1516,1565,1757,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.0462537,20832,1737286265,41761216,,1376,1551,1664,1672,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.1463954,20833,1737286265,141815008,,1352,1585,1665,1690,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.24907,20834,1737286265,241783056,,1324,1601,1804,1528,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.3465605,20835,1737286265,341758360,,1364,1560,1720,1626,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.44939,20836,1737286265,441809664,,1360,1554,1698,1653,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.547891,20837,1737286265,541718456,,1337,1570,1656,1700,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.6465607,20838,1737286265,641763504,,1464,1456,1600,1754,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.746557,20839,1737286265,741733552,,1443,1472,1660,1707,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.8469582,20840,1737286265,841799112,,1379,1519,1654,1716,0,0,0,0,0,0,0,0,0,0,0,0
1737286265.9463885,20841,1737286265,941766160,,1407,1495,1560,1795,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.0461988,20842,1737286266,41803464,,1323,1562,1728,1651,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.14923,20843,1737286266,141804256,,1417,1487,1670,1710,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.2441103,20844,1737286266,241747560,,1159,1638,1818,1546,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.3457758,20845,1737286266,341813352,,1454,1453,1607,1774,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.4458911,20846,1737286266,441739400,,1423,1495,1706,1695,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.5455482,20847,1737286266,541846192,,1392,1520,1690,1712,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.653977,20848,1737286266,641757496,,1494,1429,1545,1852,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.7476995,20849,1737286266,741758544,,1286,1552,1730,1734,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.8465064,20850,1737286266,841821848,,1388,1473,1649,1779,0,0,0,0,0,0,0,0,0,0,0,0
1737286266.9432817,20851,1737286266,941790152,,1317,1552,1788,1609,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.0454562,20852,1737286267,41846968,,1441,1454,1634,1751,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.188868,20853,1737286267,142756016,,1307,1542,1676,1725,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.245996,20854,1737286267,241752320,,1290,1530,1801,1600,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.344259,20855,1737286267,341797624,,1321,1489,1595,1819,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.4504974,20856,1737286267,441850928,,1470,1334,1511,1871,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.5454888,20857,1737286267,541840976,,1408,1403,1569,1844,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.6465893,20858,1737286267,641857280,,1351,1448,1705,1735,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.751534,20859,1737286267,741955584,,1352,1445,1582,1845,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.847964,20860,1737286267,841813144,,1428,1393,1589,1835,0,0,0,0,0,0,0,0,0,0,0,0
1737286267.9494278,20861,1737286267,941975936,,1437,1409,1616,1796,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.04804,20862,1737286268,41854496,,1457,1398,1704,1688,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.1453128,20863,1737286268,141777656,,1369,1490,1686,1678,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.2451181,20864,1737286268,241853216,,1366,1505,1720,1619,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.344928,20865,1737286268,341870520,,1486,1435,1517,1806,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.452289,20866,1737286268,441773336,,1440,1475,1650,1713,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.5452316,20867,1737286268,541858896,,1336,1531,1770,1595,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.6520252,20868,1737286268,641850640,,1248,1574,1764,1606,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.7456176,20869,1737286268,741901200,,1425,1458,1655,1732,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.847524,20870,1737286268,841787224,,1444,1460,1555,1786,0,0,0,0,0,0,0,0,0,0,0,0
1737286268.9461064,20871,1737286268,941835528,,1339,1560,1725,1580,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.0457003,20872,1737286269,41842808,,1348,1556,1682,1591,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.1487484,20873,1737286269,141854112,,1387,1528,1593,1664,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.2468574,20874,1737286269,241848136,,1353,1540,1688,1555,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.347287,20875,1737286269,341840696,,1357,1521,1630,1615,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.4465837,20876,1737286269,441871976,,1368,1506,1624,1629,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.5470657,20877,1737286269,541820536,,1421,1455,1496,1749,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.6473584,20878,1737286269,641897816,,1264,1563,1661,1622,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.7482455,20879,1737286269,741858376,,1478,1382,1463,1793,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.846333,20880,1737286269,841806656,,1489,1364,1524,1770,0,0,0,0,0,0,0,0,0,0,0,0
1737286269.9542418,20881,1737286269,941862472,,1338,1507,1646,1689,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.0477583,20882,1737286270,41872752,,1392,1471,1709,1648,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.145631,20883,1737286270,141920568,,1258,1567,1788,1575,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.2457693,20884,1737286270,241855848,,1344,1517,1865,1484,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.3454146,20885,1737286270,341888664,,1345,1510,1793,1604,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.4463334,20886,1737286270,441883200,,1206,1579,1867,1513,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.545887,20887,1737286270,541886760,,1321,1500,1854,1550,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.6472604,20888,1737286270,641826040,,1345,1517,1751,1650,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.7464235,20889,1737286270,741924856,,1469,1451,1554,1796,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.8527071,20890,1737286270,841835136,,1551,1425,1477,1802,0,0,0,0,0,0,0,0,0,0,0,0
1737286270.947259,20891,1737286270,941834952,,1348,1622,1705,1570,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.0481744,20892,1737286271,41876232,,1444,1547,1674,1592,0,0,0,0,0,0,0,0,0,0,0,0
1737286271.1484938,20893,1737286271,141913304,,1500,1486,1589,1682,0,0,0,0,0,0,0,0,0,0,0,0
