Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1737286264.3178537,2549,1737286253,334329549,,True,True,True,True,GUIDED,4
1737286264.3209064,2550,1737286254,333466474,,True,True,True,True,GUIDED,4
1737286264.3230476,2551,1737286255,333582196,,True,True,True,True,GUIDED,4
1737286264.324442,2552,1737286256,333730843,,True,True,True,True,GUIDED,4
1737286264.3259792,2553,1737286257,333892343,,True,True,True,True,GUIDED,4
1737286264.3267372,2554,1737286258,334020101,,True,True,True,True,GUIDED,4
1737286264.3269243,2555,1737286259,334164008,,True,True,True,True,GUIDED,4
1737286264.3271182,2556,1737286260,334280359,,True,True,True,True,GUIDED,4
1737286264.3275242,2557,1737286261,333422951,,True,True,True,True,GUIDED,4
1737286264.335658,2558,1737286262,333583266,,True,True,True,True,GUIDED,4
1737286264.3383062,2559,1737286263,333737209,,True,True,True,True,GUIDED,4
1737286264.3410997,2560,1737286264,333965005,,True,True,True,True,GUIDED,4
1737286265.3347585,2561,1737286265,334027356,,True,True,True,True,GUIDED,4
1737286266.3350809,2562,1737286266,334180560,,True,True,True,True,GUIDED,4
1737286267.334906,2563,1737286267,334277244,,True,True,True,True,GUIDED,4
1737286268.3339305,2564,1737286268,333408447,,True,True,True,True,GUIDED,4
1737286269.3343508,2565,1737286269,333601502,,True,True,True,True,GUIDED,4
1737286270.3344367,2566,1737286270,333767909,,True,True,True,True,GUIDED,4
1737286271.3347495,2567,1737286271,333910760,,True,True,True,True,GUIDED,4
1737286272.3348327,2568,1737286272,334041260,,True,True,True,True,GUIDED,4
1737286273.3349128,2569,1737286273,334189185,,True,True,True,True,GUIDED,4
1737286274.3350604,2570,1737286274,334330407,,True,True,True,True,GUIDED,4
1737286275.3351452,2571,1737286275,334500443,,True,True,True,True,GUIDED,4
1737286276.3343782,2572,1737286276,333625276,,True,True,True,True,GUIDED,4
1737286277.3347933,2573,1737286277,333805312,,True,True,True,True,GUIDED,4
1737286278.334744,2574,1737286278,333920404,,True,True,True,True,GUIDED,4
1737286279.3350363,2575,1737286279,334054181,,True,True,True,True,GUIDED,4
1737286280.334967,2576,1737286280,334199625,,True,True,True,True,GUIDED,4
1737286281.3350635,2577,1737286281,334339273,,True,True,True,True,GUIDED,4
1737286282.3350325,2578,1737286282,334471235,,True,True,True,True,GUIDED,4
1737286283.3342454,2579,1737286283,333645123,,True,True,True,True,GUIDED,4
1737286284.3344984,2580,1737286284,333798364,,True,True,True,True,GUIDED,4
1737286285.3346305,2581,1737286285,333896307,,True,True,True,True,GUIDED,4
1737286286.3347151,2582,1737286286,334063640,,True,True,True,True,GUIDED,4
1737286287.335153,2583,1737286287,334281343,,True,True,True,True,GUIDED,4
1737286288.3349524,2584,1737286288,334359380,,True,True,True,True,GUIDED,4
1737286289.335297,2585,1737286289,334497879,,True,True,True,True,GUIDED,4
1737286290.3343244,2586,1737286290,333636934,,True,True,True,True,GUIDED,4
1737286291.3345678,2587,1737286291,333807508,,True,True,True,True,GUIDED,4
1737286292.334581,2588,1737286292,333901044,,True,True,True,True,GUIDED,4
1737286293.3347538,2589,1737286293,334091136,,True,True,True,True,GUIDED,4
1737286294.33484,2590,1737286294,334233376,,True,True,True,True,GUIDED,4
1737286295.3350205,2591,1737286295,334378450,,True,True,True,True,GUIDED,4
1737286296.3351877,2592,1737286296,334527468,,True,True,True,True,GUIDED,4
1737286297.3354175,2593,1737286297,334664541,,True,True,True,True,GUIDED,4
1737286298.3345673,2594,1737286298,333811577,,True,True,True,True,GUIDED,4
1737286299.3346786,2595,1737286299,333944929,,True,True,True,True,GUIDED,4
1737286300.3346965,2596,1737286300,334089854,,True,True,True,True,GUIDED,4
1737286301.3349378,2597,1737286301,334263205,,True,True,True,True,GUIDED,4
1737286302.334965,2598,1737286302,334374594,,True,True,True,True,GUIDED,4
1737286303.335123,2599,1737286303,334497556,,True,True,True,True,GUIDED,4
1737286304.3352218,2600,1737286304,334662389,,True,True,True,True,GUIDED,4
1737286305.334462,2601,1737286305,333829814,,True,True,True,True,GUIDED,4
1737286306.3345268,2602,1737286306,333938017,,True,True,True,True,GUIDED,4
1737286307.3348303,2603,1737286307,334094109,,True,True,True,True,GUIDED,4
1737286308.3349082,2604,1737286308,334248572,,True,True,True,True,GUIDED,4
1737286309.3349795,2605,1737286309,334374552,,True,True,True,True,GUIDED,4
1737286310.3352811,2606,1737286310,334544015,,True,True,True,True,GUIDED,4
1737286311.3352783,2607,1737286311,334678755,,True,True,True,True,GUIDED,4
1737286312.335588,2608,1737286312,334830217,,True,True,True,True,GUIDED,4
1737286313.3345811,2609,1737286313,333980865,,True,True,True,True,GUIDED,4
1737286314.3349745,2610,1737286314,334171901,,True,True,True,True,GUIDED,4
